# ell  Dl_TT  Dl_EE  Dl_TE
     304    3.857146e+03    9.338301e+00    1.394815e+02
     308    3.555898e+03    9.172355e+00    1.192348e+02
     312    3.544265e+03    8.364034e+00    1.273678e+02
     316    3.467766e+03    9.698716e+00    1.369115e+02
     320    3.187491e+03    1.130370e+01    1.430945e+02
     324    2.904619e+03    1.240251e+01    1.286311e+02
     328    2.905709e+03    1.088767e+01    1.161977e+02
     332    2.802302e+03    1.112394e+01    1.283455e+02
     336    2.511588e+03    1.371854e+01    1.308175e+02
     340    2.280090e+03    1.355885e+01    1.136227e+02
     344    2.250141e+03    1.227956e+01    1.095523e+02
     348    2.182129e+03    1.350889e+01    1.215277e+02
     352    1.969920e+03    1.555799e+01    1.088240e+02
     356    1.868423e+03    1.426522e+01    9.284287e+01
     360    1.824562e+03    1.352750e+01    9.679719e+01
     364    1.600205e+03    1.605134e+01    9.487373e+01
     368    1.459486e+03    1.603223e+01    7.827592e+01
     372    1.501236e+03    1.382367e+01    7.460618e+01
     376    1.422018e+03    1.539750e+01    8.023592e+01
     380    1.319960e+03    1.556507e+01    5.990371e+01
     384    1.341336e+03    1.423272e+01    5.965857e+01
     388    1.175709e+03    1.512230e+01    4.916576e+01
     392    1.196128e+03    1.541505e+01    3.709832e+01
     396    1.098321e+03    1.340196e+01    3.683493e+01
     400    1.094609e+03    1.443502e+01    3.357441e+01
     404    9.874837e+02    1.467927e+01    1.144321e+01
     408    8.552293e+02    1.291078e+01    2.373365e+01
     412    1.038838e+03    1.388860e+01    3.543217e+00
     416    8.932250e+02    1.200728e+01    3.289283e+00
     420    8.013448e+02    1.215452e+01    1.088694e+01
     424    9.659978e+02    1.191063e+01   -1.135777e+01
     428    8.054042e+02    1.064903e+01   -2.066660e+00
     432    8.879712e+02    1.074119e+01   -1.593135e+01
     436    8.552447e+02    9.724571e+00   -1.103915e+01
     440    8.371586e+02    9.537117e+00   -1.427349e+01
     444    1.028156e+03    9.578152e+00   -2.148980e+01
     448    8.352598e+02    8.419687e+00   -2.352361e+01
     452    1.036817e+03    8.303299e+00   -2.410494e+01
     456    9.041504e+02    7.219401e+00   -2.095816e+01
     460    1.097788e+03    6.741719e+00   -2.617245e+01
     464    1.047474e+03    5.922825e+00   -2.243024e+01
     468    1.038252e+03    6.244448e+00   -2.980056e+01
     472    1.174940e+03    5.383000e+00   -2.154071e+01
     476    1.054557e+03    4.861411e+00   -2.474474e+01
     480    1.385045e+03    4.320391e+00   -1.793300e+01
     484    1.125621e+03    4.123778e+00   -2.125468e+01
     488    1.445491e+03    3.868573e+00   -1.161136e+01
     492    1.148269e+03    3.953842e+00   -8.168629e+00
     496    1.450150e+03    3.624408e+00   -1.323083e+00
     500    1.203410e+03    4.400143e+00    2.505348e+00
