# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
1.09122260e-04 3.76582076e+11 7.35047544e-05 1.23212114e+12
1.09606640e-04 3.71553411e+11 7.38310325e-05 1.21566809e+12
1.10093169e-04 3.66591910e+11 7.41587588e-05 1.19943479e+12
1.10581859e-04 3.61696685e+11 7.44879399e-05 1.18341833e+12
1.11072717e-04 3.56866857e+11 7.48185822e-05 1.16761585e+12
1.11565754e-04 3.52101552e+11 7.51506922e-05 1.15202447e+12
1.12060980e-04 3.47399902e+11 7.54842763e-05 1.13664136e+12
1.12558404e-04 3.42761050e+11 7.58193412e-05 1.12146372e+12
1.13058036e-04 3.38184152e+11 7.61558934e-05 1.10648879e+12
1.13559886e-04 3.33668375e+11 7.64939395e-05 1.09171383e+12
1.14063964e-04 3.29212895e+11 7.68334861e-05 1.07713615e+12
1.14570279e-04 3.24816903e+11 7.71745400e-05 1.06275311e+12
1.15078842e-04 3.20479599e+11 7.75171077e-05 1.04856209e+12
1.15589662e-04 3.16200194e+11 7.78611961e-05 1.03456051e+12
1.16102749e-04 3.11977910e+11 7.82068118e-05 1.02074582e+12
1.16618114e-04 3.07811984e+11 7.85539617e-05 1.00711552e+12
1.17135767e-04 3.03701668e+11 7.89026525e-05 9.93667172e+11
1.17655717e-04 2.99646224e+11 7.92528911e-05 9.80398355e+11
1.18177976e-04 2.95644923e+11 7.96046844e-05 9.67306685e+11
1.18702552e-04 2.91697045e+11 7.99580393e-05 9.54389809e+11
1.19229458e-04 2.87801880e+11 8.03129626e-05 9.41645404e+11
1.19758702e-04 2.83958729e+11 8.06694614e-05 9.29071179e+11
1.20290295e-04 2.80166900e+11 8.10275426e-05 9.16664872e+11
1.20824248e-04 2.76425711e+11 8.13872134e-05 9.04424252e+11
1.21360571e-04 2.72734488e+11 8.17484806e-05 8.92347115e+11
1.21899275e-04 2.69092566e+11 8.21113515e-05 8.80431280e+11
1.22440370e-04 2.65499283e+11 8.24758331e-05 8.68674588e+11
1.22983867e-04 2.61953989e+11 8.28419326e-05 8.57074909e+11
1.23529776e-04 2.58456041e+11 8.32096572e-05 8.45630138e+11
1.24078109e-04 2.55004806e+11 8.35790140e-05 8.34338204e+11
1.24628875e-04 2.51599657e+11 8.39500104e-05 8.23197059e+11
1.25182087e-04 2.48239979e+11 8.43226536e-05 8.12204685e+11
