# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
1.29123938e-04 1.29641228e+12 8.69778845e-05 4.24167023e+12
1.29697102e-04 1.27910171e+12 8.73639680e-05 4.18503259e+12
1.30272811e-04 1.26202190e+12 8.77517653e-05 4.12914997e+12
1.30851075e-04 1.24516940e+12 8.81412840e-05 4.07401107e+12
1.31431906e-04 1.22854090e+12 8.85325317e-05 4.01960506e+12
1.32015315e-04 1.21213371e+12 8.89255161e-05 3.96592314e+12
1.32601314e-04 1.19594541e+12 8.93202449e-05 3.91295740e+12
1.33189914e-04 1.17997359e+12 8.97167259e-05 3.86069996e+12
1.33781126e-04 1.16421579e+12 9.01149667e-05 3.80914276e+12
1.34374963e-04 1.14866904e+12 9.05149754e-05 3.75827608e+12
1.34971436e-04 1.13333019e+12 9.09167596e-05 3.70808963e+12
1.35570557e-04 1.11819615e+12 9.13203272e-05 3.65857328e+12
1.36172337e-04 1.10326393e+12 9.17256863e-05 3.60971725e+12
1.36776788e-04 1.08853095e+12 9.21328447e-05 3.56151311e+12
1.37383923e-04 1.07399484e+12 9.25418104e-05 3.51395310e+12
1.37993752e-04 1.05965325e+12 9.29525915e-05 3.46702951e+12
1.38606289e-04 1.04550378e+12 9.33651959e-05 3.42073452e+12
1.39221544e-04 1.03154359e+12 9.37796319e-05 3.37505886e+12
1.39839530e-04 1.01776972e+12 9.41959075e-05 3.32999277e+12
1.40460260e-04 1.00417922e+12 9.46140309e-05 3.28552666e+12
1.41083744e-04 9.90769301e+11 9.50340103e-05 3.24165137e+12
1.41709997e-04 9.77537778e+11 9.54558539e-05 3.19835977e+12
1.42339029e-04 9.64482755e+11 9.58795700e-05 3.15564566e+12
1.42970854e-04 9.51602342e+11 9.63051669e-05 3.11350284e+12
1.43605483e-04 9.38894605e+11 9.67326530e-05 3.07192500e+12
1.44242929e-04 9.26357206e+11 9.71620367e-05 3.03090447e+12
1.44883204e-04 9.13987646e+11 9.75933264e-05 2.99043309e+12
1.45526322e-04 9.01783467e+11 9.80265305e-05 2.95050281e+12
1.46172294e-04 8.89742262e+11 9.84616575e-05 2.91110576e+12
1.46821134e-04 8.77861744e+11 9.88987160e-05 2.87223446e+12
1.47472854e-04 8.66139701e+11 9.93377145e-05 2.83388166e+12
1.48127467e-04 8.54573950e+11 9.97786617e-05 2.79604022e+12
1.48784985e-04 8.43162356e+11 1.00221566e-04 2.75870316e+12
1.49445423e-04 8.31902907e+11 1.00666437e-04 2.72186390e+12
1.50108791e-04 8.20793665e+11 1.01113282e-04 2.68551610e+12
1.50775105e-04 8.09832716e+11 1.01562111e-04 2.64965349e+12
1.51444376e-04 7.99018165e+11 1.02012932e-04 2.61426987e+12
1.52116618e-04 7.88348130e+11 1.02465754e-04 2.57935908e+12
1.52791844e-04 7.77820748e+11 1.02920586e-04 2.54491504e+12
1.53470067e-04 7.67434178e+11 1.03377437e-04 2.51093171e+12
1.54151301e-04 7.57186578e+11 1.03836316e-04 2.47740307e+12
1.54835558e-04 7.47075943e+11 1.04297232e-04 2.44432256e+12
1.55522853e-04 7.37100209e+11 1.04760194e-04 2.41168343e+12
1.56213199e-04 7.27257346e+11 1.05225211e-04 2.37947903e+12
1.56906609e-04 7.17545395e+11 1.05692292e-04 2.34770295e+12
1.57603097e-04 7.07962710e+11 1.06161446e-04 2.31634982e+12
1.58302677e-04 6.98507811e+11 1.06632683e-04 2.28541478e+12
1.59005362e-04 6.89179225e+11 1.07106012e-04 2.25489302e+12
1.59711166e-04 6.79975475e+11 1.07581441e-04 2.22477970e+12
1.60420103e-04 6.70894922e+11 1.08058981e-04 2.19506947e+12
1.61132187e-04 6.61935861e+11 1.08538641e-04 2.16575674e+12
1.61847432e-04 6.53096613e+11 1.09020430e-04 2.13683602e+12
1.62565851e-04 6.44375516e+11 1.09504357e-04 2.10830188e+12
1.63287460e-04 6.35770906e+11 1.09990433e-04 2.08014886e+12
1.64012272e-04 6.27281123e+11 1.10478666e-04 2.05237154e+12
1.64740301e-04 6.18904536e+11 1.10969067e-04 2.02496458e+12
1.65471562e-04 6.10639554e+11 1.11461644e-04 1.99792277e+12
1.66206068e-04 6.02484759e+11 1.11956408e-04 1.97124148e+12
1.66943835e-04 5.94438825e+11 1.12453368e-04 1.94491637e+12
1.67684877e-04 5.86500442e+11 1.12952533e-04 1.91894315e+12
1.68429209e-04 5.78668294e+11 1.13453915e-04 1.89331751e+12
1.69176844e-04 5.70940933e+11 1.13957522e-04 1.86803473e+12
1.69927798e-04 5.63316854e+11 1.14463365e-04 1.84308986e+12
1.70682086e-04 5.55794572e+11 1.14971453e-04 1.81847806e+12
1.71439721e-04 5.48372641e+11 1.15481796e-04 1.79419459e+12
1.72200720e-04 5.41049735e+11 1.15994405e-04 1.77023512e+12
1.72965096e-04 5.33824604e+11 1.16509289e-04 1.74659556e+12
1.73732866e-04 5.26696013e+11 1.17026459e-04 1.72327186e+12
1.74504044e-04 5.19662727e+11 1.17545924e-04 1.70025998e+12
1.75278644e-04 5.12723398e+11 1.18067695e-04 1.67755552e+12
1.76056683e-04 5.05876629e+11 1.18591782e-04 1.65515389e+12
1.76838176e-04 4.99121044e+11 1.19118195e-04 1.63305062e+12
1.77623138e-04 4.92455316e+11 1.19646946e-04 1.61124134e+12
1.78411584e-04 4.85878359e+11 1.20178043e-04 1.58972250e+12
1.79203530e-04 4.79389221e+11 1.20711498e-04 1.56849099e+12
1.79998991e-04 4.72986957e+11 1.21247320e-04 1.54754373e+12
1.80797983e-04 4.66670602e+11 1.21785521e-04 1.52687754e+12
1.81600522e-04 4.60438947e+11 1.22326111e-04 1.50648849e+12
1.82406623e-04 4.54290662e+11 1.22869101e-04 1.48637220e+12
1.83216302e-04 4.48224437e+11 1.23414501e-04 1.46652441e+12
1.84029575e-04 4.42239005e+11 1.23962322e-04 1.44694095e+12
1.84846459e-04 4.36333280e+11 1.24512575e-04 1.42761829e+12
1.85666968e-04 4.30506288e+11 1.25065270e-04 1.40855323e+12
1.86491120e-04 4.24757063e+11 1.25620418e-04 1.38974261e+12
1.87318930e-04 4.19084646e+11 1.26178031e-04 1.37118330e+12
1.88150414e-04 4.13488043e+11 1.26738119e-04 1.35287203e+12
1.88985589e-04 4.07966247e+11 1.27300693e-04 1.33480553e+12
1.89824472e-04 4.02518263e+11 1.27865764e-04 1.31698053e+12
1.90667078e-04 3.97143107e+11 1.28433344e-04 1.29939381e+12
1.91513424e-04 3.91839772e+11 1.29003442e-04 1.28204208e+12
1.92363527e-04 3.86607245e+11 1.29576072e-04 1.26492202e+12
1.93217404e-04 3.81444527e+11 1.30151243e-04 1.24803037e+12
1.94075071e-04 3.76350643e+11 1.30728968e-04 1.23136393e+12
1.94936545e-04 3.71324683e+11 1.31309257e-04 1.21491973e+12
1.95801843e-04 3.66365785e+11 1.31892121e-04 1.19869494e+12
1.96670982e-04 3.61473098e+11 1.32477573e-04 1.18268679e+12
1.97543979e-04 3.56645770e+11 1.33065624e-04 1.16689248e+12
1.98420851e-04 3.51882876e+11 1.33656285e-04 1.15130900e+12
1.99301615e-04 3.47183452e+11 1.34249568e-04 1.13593317e+12
2.00186289e-04 3.42546547e+11 1.34845484e-04 1.12076190e+12
2.01074890e-04 3.37971252e+11 1.35444046e-04 1.10579221e+12
2.01967435e-04 3.33456942e+11 1.36045264e-04 1.09102205e+12
2.02863942e-04 3.29003166e+11 1.36649152e-04 1.07644995e+12
2.03764429e-04 3.24609466e+11 1.37255719e-04 1.06207441e+12
2.04668913e-04 3.20275334e+11 1.37864980e-04 1.04789377e+12
2.05577412e-04 3.15999769e+11 1.38476944e-04 1.03390475e+12
2.06489943e-04 3.11781466e+11 1.39091626e-04 1.02010308e+12
2.07406525e-04 3.07619155e+11 1.39709035e-04 1.00648461e+12
2.08327176e-04 3.03511641e+11 1.40329185e-04 9.93045431e+11
2.09251913e-04 2.99458228e+11 1.40952088e-04 9.79783261e+11
2.10180755e-04 2.95458538e+11 1.41577756e-04 9.66696862e+11
2.11113720e-04 2.91512189e+11 1.42206202e-04 9.53784988e+11
2.12050826e-04 2.87618771e+11 1.42837437e-04 9.41046300e+11
2.12992092e-04 2.83777632e+11 1.43471473e-04 9.28478657e+11
2.13937537e-04 2.79987961e+11 1.44108325e-04 9.16079412e+11
2.14887177e-04 2.76248962e+11 1.44748003e-04 9.03845956e+11
2.15841034e-04 2.72559858e+11 1.45390520e-04 8.91775751e+11
2.16799124e-04 2.68919959e+11 1.46035890e-04 8.79866537e+11
2.17761467e-04 2.65328635e+11 1.46684124e-04 8.68116254e+11
2.18728082e-04 2.61785264e+11 1.47335236e-04 8.56522864e+11
2.19698987e-04 2.58289227e+11 1.47989238e-04 8.45084346e+11
2.20674203e-04 2.54839868e+11 1.48646143e-04 8.33798550e+11
2.21653747e-04 2.51436507e+11 1.49305964e-04 8.22663256e+11
2.22637639e-04 2.48078478e+11 1.49968714e-04 8.11676276e+11
2.23625898e-04 2.44765130e+11 1.50634405e-04 8.00835489e+11
2.24618545e-04 2.41495935e+11 1.51303052e-04 7.90139166e+11
2.25615597e-04 2.38270448e+11 1.51974666e-04 7.79585847e+11
2.26617076e-04 2.35088224e+11 1.52649262e-04 7.69174078e+11
2.27622999e-04 2.31948803e+11 1.53326852e-04 7.58902354e+11
2.28633388e-04 2.28851502e+11 1.54007450e-04 7.48768441e+11
2.29648262e-04 2.25795491e+11 1.54691069e-04 7.38769624e+11
2.30667641e-04 2.22779960e+11 1.55377723e-04 7.28903248e+11
2.31691544e-04 2.19804137e+11 1.56067424e-04 7.19166795e+11
2.32719993e-04 2.16867568e+11 1.56760187e-04 7.09558772e+11
2.33753007e-04 2.13970012e+11 1.57456025e-04 7.00078394e+11
2.34790606e-04 2.11111226e+11 1.58154952e-04 6.90724868e+11
2.35832811e-04 2.08290947e+11 1.58856982e-04 6.81497331e+11
2.36879642e-04 2.05508714e+11 1.59562127e-04 6.72394273e+11
2.37931120e-04 2.02763927e+11 1.60270403e-04 6.63413735e+11
2.38987265e-04 2.00055996e+11 1.60981822e-04 6.54553783e+11
2.40048099e-04 1.97384343e+11 1.61696399e-04 6.45812527e+11
2.41113641e-04 1.94748425e+11 1.62414149e-04 6.37188193e+11
2.42183913e-04 1.92147729e+11 1.63135084e-04 6.28679098e+11
2.43258936e-04 1.89581750e+11 1.63859219e-04 6.20283590e+11
2.44338731e-04 1.87049989e+11 1.64586569e-04 6.12000043e+11
2.45423319e-04 1.84551974e+11 1.65317148e-04 6.03826904e+11
2.46512721e-04 1.82087245e+11 1.66050969e-04 5.95762674e+11
2.47606959e-04 1.79655352e+11 1.66788048e-04 5.87805878e+11
2.48706054e-04 1.77255852e+11 1.67528398e-04 5.79955067e+11
2.49810028e-04 1.74888344e+11 1.68272035e-04 5.72208929e+11
2.50918902e-04 1.72552457e+11 1.69018972e-04 5.64566251e+11
2.52032698e-04 1.70247826e+11 1.69769226e-04 5.57025836e+11
2.53151439e-04 1.67974081e+11 1.70522809e-04 5.49586478e+11
2.54275145e-04 1.65730795e+11 1.71279738e-04 5.42246774e+11
2.55403839e-04 1.63517493e+11 1.72040026e-04 5.35005177e+11
2.56537544e-04 1.61333710e+11 1.72803690e-04 5.27860162e+11
2.57676281e-04 1.59178994e+11 1.73570743e-04 5.20810247e+11
2.58820072e-04 1.57052956e+11 1.74341201e-04 5.13854162e+11
2.59968941e-04 1.54955258e+11 1.75115079e-04 5.06990805e+11
2.61122909e-04 1.52885568e+11 1.75892392e-04 5.00219084e+11
2.62282000e-04 1.50843554e+11 1.76673155e-04 4.93537912e+11
2.63446236e-04 1.48828852e+11 1.77457384e-04 4.86946106e+11
2.64615639e-04 1.46841080e+11 1.78245094e-04 4.80442409e+11
2.65790234e-04 1.44879859e+11 1.79036301e-04 4.74025582e+11
2.66970042e-04 1.42944818e+11 1.79831020e-04 4.67694411e+11
2.68155087e-04 1.41035608e+11 1.80629267e-04 4.61447757e+11
2.69345393e-04 1.39151902e+11 1.81431056e-04 4.55284550e+11
2.70540982e-04 1.37293378e+11 1.82236405e-04 4.49203731e+11
2.71741878e-04 1.35459714e+11 1.83045329e-04 4.43204252e+11
2.72948105e-04 1.33650579e+11 1.83857843e-04 4.37285030e+11
2.74159686e-04 1.31865635e+11 1.84673965e-04 4.31444954e+11
2.75376645e-04 1.30104546e+11 1.85493708e-04 4.25682930e+11
2.76599006e-04 1.28366983e+11 1.86317091e-04 4.19997881e+11
2.77826793e-04 1.26652616e+11 1.87144128e-04 4.14388722e+11
2.79060030e-04 1.24961113e+11 1.87974836e-04 4.08854374e+11
2.80298742e-04 1.23292149e+11 1.88809232e-04 4.03393770e+11
2.81542951e-04 1.21645406e+11 1.89647332e-04 3.98005870e+11
2.82792684e-04 1.20020600e+11 1.90489152e-04 3.92689743e+11
2.84047964e-04 1.18417476e+11 1.91334708e-04 3.87444556e+11
2.85308816e-04 1.16835781e+11 1.92184018e-04 3.82269485e+11
2.86575264e-04 1.15275265e+11 1.93037098e-04 3.77163705e+11
2.87847335e-04 1.13735640e+11 1.93893965e-04 3.72126279e+11
2.89125052e-04 1.12216592e+11 1.94754635e-04 3.67156177e+11
2.90408440e-04 1.10717811e+11 1.95619125e-04 3.62252385e+11
2.91697526e-04 1.09238993e+11 1.96487453e-04 3.57413913e+11
2.92992333e-04 1.07779876e+11 1.97359635e-04 3.52639894e+11
2.94292888e-04 1.06340225e+11 1.98235689e-04 3.47929570e+11
2.95599216e-04 1.04919813e+11 1.99115632e-04 3.43282192e+11
2.96911342e-04 1.03518412e+11 1.99999480e-04 3.38697012e+11
2.98229293e-04 1.02135768e+11 2.00887252e-04 3.34173204e+11
2.99553094e-04 1.00771609e+11 2.01778964e-04 3.29709876e+11
3.00882771e-04 9.94256647e+10 2.02674635e-04 3.25306145e+11
3.02218351e-04 9.80976725e+10 2.03574281e-04 3.20961150e+11
3.03559859e-04 9.67873936e+10 2.04477921e-04 3.16674110e+11
3.04907321e-04 9.54946120e+10 2.05385572e-04 3.12444319e+11
3.06260765e-04 9.42191146e+10 2.06297252e-04 3.08271080e+11
3.07620217e-04 9.29606888e+10 2.07212978e-04 3.04153695e+11
3.08985703e-04 9.17190911e+10 2.08132770e-04 3.00091371e+11
3.10357251e-04 9.04940511e+10 2.09056644e-04 2.96083220e+11
3.11734886e-04 8.92853026e+10 2.09984619e-04 2.92128373e+11
3.13118637e-04 8.80925871e+10 2.10916714e-04 2.88225983e+11
3.14508530e-04 8.69157026e+10 2.11852946e-04 2.84375390e+11
3.15904592e-04 8.57544983e+10 2.12793333e-04 2.80576101e+11
3.17306852e-04 8.46088252e+10 2.13737895e-04 2.76827627e+11
3.18715335e-04 8.34785321e+10 2.14686650e-04 2.73129474e+11
3.20130071e-04 8.23634365e+10 2.15639616e-04 2.69481045e+11
3.21551087e-04 8.12633269e+10 2.16596812e-04 2.65881648e+11
3.22978411e-04 8.01779935e+10 2.17558257e-04 2.62330597e+11
3.24412070e-04 7.91072287e+10 2.18523970e-04 2.58827212e+11
3.25852093e-04 7.80508036e+10 2.19493970e-04 2.55370745e+11
3.27298508e-04 7.70084698e+10 2.20468275e-04 2.51960382e+11
3.28751343e-04 7.59799832e+10 2.21446905e-04 2.48595325e+11
3.30210628e-04 7.49651077e+10 2.22429879e-04 2.45274802e+11
3.31676390e-04 7.39636671e+10 2.23417216e-04 2.41998236e+11
3.33148658e-04 7.29755420e+10 2.24408936e-04 2.38765236e+11
3.34627462e-04 7.20006146e+10 2.25405058e-04 2.35575417e+11
3.36112829e-04 7.10387647e+10 2.26405602e-04 2.32428385e+11
3.37604791e-04 7.00898317e+10 2.27410587e-04 2.29323616e+11
3.39103374e-04 6.91536161e+10 2.28420033e-04 2.26260457e+11
3.40608610e-04 6.82299204e+10 2.29433960e-04 2.23238260e+11
3.42120528e-04 6.73185514e+10 2.30452387e-04 2.20256395e+11
3.43639156e-04 6.64193338e+10 2.31475336e-04 2.17314287e+11
3.45164526e-04 6.55321104e+10 2.32502824e-04 2.14411423e+11
3.46696666e-04 6.46567263e+10 2.33534874e-04 2.11547295e+11
3.48235607e-04 6.37930284e+10 2.34571505e-04 2.08721402e+11
3.49781380e-04 6.29408591e+10 2.35612738e-04 2.05933230e+11
3.51334014e-04 6.21000567e+10 2.36658592e-04 2.03182248e+11
3.52893540e-04 6.12704618e+10 2.37709089e-04 2.00467936e+11
3.54459989e-04 6.04519178e+10 2.38764248e-04 1.97789780e+11
3.56033390e-04 5.96442839e+10 2.39824092e-04 1.95147321e+11
3.57613776e-04 5.88474354e+10 2.40888640e-04 1.92540150e+11
3.59201177e-04 5.80612490e+10 2.41957913e-04 1.89967864e+11
3.60795625e-04 5.72856016e+10 2.43031933e-04 1.87430060e+11
3.62397150e-04 5.65203507e+10 2.44110720e-04 1.84926271e+11
3.64005783e-04 5.57653333e+10 2.45194296e-04 1.82455965e+11
3.65621558e-04 5.50203890e+10 2.46282681e-04 1.80018617e+11
3.67244504e-04 5.42853608e+10 2.47375898e-04 1.77613713e+11
3.68874655e-04 5.35601173e+10 2.48473968e-04 1.75240823e+11
3.70512042e-04 5.28445531e+10 2.49576911e-04 1.72899602e+11
3.72156696e-04 5.21385645e+10 2.50684751e-04 1.70589711e+11
3.73808651e-04 5.14420474e+10 2.51797508e-04 1.68310810e+11
3.75467939e-04 5.07548758e+10 2.52915204e-04 1.66062486e+11
3.77134593e-04 5.00769006e+10 2.54037862e-04 1.63844250e+11
3.78808644e-04 4.94079739e+10 2.55165503e-04 1.61655621e+11
3.80490127e-04 4.87479520e+10 2.56298149e-04 1.59496126e+11
3.82179073e-04 4.80967111e+10 2.57435823e-04 1.57365362e+11
3.83875516e-04 4.74541500e+10 2.58578548e-04 1.55262996e+11
3.85579489e-04 4.68201688e+10 2.59726344e-04 1.53188703e+11
3.87291027e-04 4.61946682e+10 2.60879236e-04 1.51142157e+11
3.89010161e-04 4.55775373e+10 2.62037245e-04 1.49122996e+11
3.90736927e-04 4.49686525e+10 2.63200394e-04 1.47130814e+11
3.92471357e-04 4.43678914e+10 2.64368706e-04 1.45165212e+11
3.94213486e-04 4.37751342e+10 2.65542204e-04 1.43225798e+11
3.95963349e-04 4.31902717e+10 2.66720912e-04 1.41312214e+11
3.97720979e-04 4.26132067e+10 2.67904851e-04 1.39424142e+11
3.99486410e-04 4.20438434e+10 2.69094046e-04 1.37561269e+11
4.01259679e-04 4.14820870e+10 2.70288520e-04 1.35723285e+11
4.03040818e-04 4.09278470e+10 2.71488295e-04 1.33909893e+11
4.04829864e-04 4.03810371e+10 2.72693396e-04 1.32120812e+11
4.06626851e-04 3.98415718e+10 2.73903847e-04 1.30355761e+11
4.08431815e-04 3.93093656e+10 2.75119670e-04 1.28614460e+11
