# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
7.42280266e-05 6.95864643e+12 4.99999987e-05 2.27676672e+13
7.45575152e-05 6.86572048e+12 5.02219422e-05 2.24636272e+13
7.48884663e-05 6.77403832e+12 5.04448709e-05 2.21636567e+13
7.52208865e-05 6.68358282e+12 5.06687891e-05 2.18676996e+13
7.55547822e-05 6.59433708e+12 5.08937013e-05 2.15757006e+13
7.58901601e-05 6.50628445e+12 5.11196118e-05 2.12876054e+13
7.62270266e-05 6.41940855e+12 5.13465251e-05 2.10033602e+13
7.65653885e-05 6.33369320e+12 5.15744457e-05 2.07229122e+13
7.69052523e-05 6.24912247e+12 5.18033779e-05 2.04462092e+13
7.72466247e-05 6.16568069e+12 5.20333264e-05 2.01732000e+13
7.75895124e-05 6.08335250e+12 5.22642956e-05 1.99038343e+13
7.79339222e-05 6.00212281e+12 5.24962900e-05 1.96380627e+13
7.82798607e-05 5.92197673e+12 5.27293142e-05 1.93758365e+13
7.86273348e-05 5.84289974e+12 5.29633727e-05 1.91171082e+13
7.89763513e-05 5.76487820e+12 5.31984703e-05 1.88618332e+13
7.93269171e-05 5.68789883e+12 5.34346114e-05 1.86099681e+13
7.96790390e-05 5.61194848e+12 5.36718007e-05 1.83614697e+13
8.00327239e-05 5.53701391e+12 5.39100428e-05 1.81162948e+13
8.03879787e-05 5.46308113e+12 5.41493425e-05 1.78743976e+13
8.07448105e-05 5.39013607e+12 5.43897044e-05 1.76357321e+13
8.11032262e-05 5.31816489e+12 5.46311332e-05 1.74002530e+13
8.14632329e-05 5.24715400e+12 5.48736337e-05 1.71679158e+13
8.18248376e-05 5.17709023e+12 5.51172106e-05 1.69386775e+13
8.21880474e-05 5.10796064e+12 5.53618687e-05 1.67124956e+13
8.25528695e-05 5.03975247e+12 5.56076129e-05 1.64893285e+13
8.29193109e-05 4.97245337e+12 5.58544478e-05 1.62691358e+13
8.32873790e-05 4.90605209e+12 5.61023785e-05 1.60518805e+13
8.36570808e-05 4.84053771e+12 5.63514096e-05 1.58375272e+13
8.40284237e-05 4.77589947e+12 5.66015462e-05 1.56260403e+13
8.44014149e-05 4.71212640e+12 5.68527931e-05 1.54173842e+13
8.47760619e-05 4.64920644e+12 5.71051553e-05 1.52115194e+13
8.51523718e-05 4.58712734e+12 5.73586376e-05 1.50084057e+13
8.55303521e-05 4.52587709e+12 5.76132452e-05 1.48080039e+13
8.59100102e-05 4.46544402e+12 5.78689829e-05 1.46102758e+13
8.62913535e-05 4.40581750e+12 5.81258558e-05 1.44151866e+13
8.66743896e-05 4.34698728e+12 5.83838689e-05 1.42227027e+13
8.70591260e-05 4.28894320e+12 5.86430273e-05 1.40327911e+13
8.74455701e-05 4.23167506e+12 5.89033360e-05 1.38454181e+13
8.78337296e-05 4.17517191e+12 5.91648003e-05 1.36605482e+13
8.82236122e-05 4.11942272e+12 5.94274251e-05 1.34781450e+13
8.86152253e-05 4.06441666e+12 5.96912158e-05 1.32981733e+13
8.90085768e-05 4.01014329e+12 5.99561773e-05 1.31205988e+13
8.94036743e-05 3.95659358e+12 6.02223150e-05 1.29453920e+13
8.98005255e-05 3.90375892e+12 6.04896340e-05 1.27725248e+13
9.01991384e-05 3.85163080e+12 6.07581396e-05 1.26019692e+13
9.05995206e-05 3.80020051e+12 6.10278371e-05 1.24336969e+13
9.10016801e-05 3.74945828e+12 6.12987317e-05 1.22676758e+13
9.14056248e-05 3.69939413e+12 6.15708288e-05 1.21038733e+13
9.18113624e-05 3.64999825e+12 6.18441337e-05 1.19422572e+13
9.22189011e-05 3.60126110e+12 6.21186518e-05 1.17827964e+13
9.26282489e-05 3.55317388e+12 6.23943884e-05 1.16254621e+13
9.30394136e-05 3.50572807e+12 6.26713490e-05 1.14702264e+13
9.34524035e-05 3.45891527e+12 6.29495390e-05 1.13170618e+13
9.38672265e-05 3.41272720e+12 6.32289638e-05 1.11659412e+13
9.42838909e-05 3.36715573e+12 6.35096289e-05 1.10168381e+13
9.47024049e-05 3.32219283e+12 6.37915399e-05 1.08697261e+13
9.51227765e-05 3.27783060e+12 6.40747023e-05 1.07245794e+13
9.55450142e-05 3.23406118e+12 6.43591215e-05 1.05813723e+13
9.59691261e-05 3.19087661e+12 6.46448033e-05 1.04400788e+13
9.63951205e-05 3.14826898e+12 6.49317532e-05 1.03006729e+13
9.68230059e-05 3.10623048e+12 6.52199768e-05 1.01631291e+13
9.72527907e-05 3.06475340e+12 6.55094798e-05 1.00274222e+13
9.76844832e-05 3.02382995e+12 6.58002679e-05 9.89352668e+12
9.81180919e-05 2.98345244e+12 6.60923467e-05 9.76141741e+12
9.85536253e-05 2.94361328e+12 6.63857220e-05 9.63106951e+12
9.89910921e-05 2.90430507e+12 6.66803996e-05 9.50245886e+12
9.94305006e-05 2.86552110e+12 6.69763852e-05 9.37556340e+12
9.98718597e-05 2.82725488e+12 6.72736847e-05 9.25036195e+12
1.00315178e-04 2.78949998e+12 6.75723038e-05 9.12683350e+12
1.00760464e-04 2.75225000e+12 6.78722485e-05 9.00495702e+12
1.01207727e-04 2.71549813e+12 6.81735246e-05 8.88471031e+12
1.01656974e-04 2.67923754e+12 6.84761380e-05 8.76607101e+12
1.02108217e-04 2.64346150e+12 6.87800947e-05 8.64901706e+12
1.02561462e-04 2.60816338e+12 6.90854006e-05 8.53352680e+12
1.03016719e-04 2.57333672e+12 6.93920617e-05 8.41957910e+12
1.03473996e-04 2.53897518e+12 6.97000840e-05 8.30715321e+12
1.03933304e-04 2.50507252e+12 7.00094736e-05 8.19622867e+12
1.04394651e-04 2.47162255e+12 7.03202366e-05 8.08678532e+12
1.04858045e-04 2.43861925e+12 7.06323790e-05 7.97880336e+12
1.05323496e-04 2.40605664e+12 7.09459069e-05 7.87226329e+12
1.05791013e-04 2.37392884e+12 7.12608266e-05 7.76714586e+12
1.06260606e-04 2.34223004e+12 7.15771441e-05 7.66343207e+12
1.06732283e-04 2.31095448e+12 7.18948658e-05 7.56110301e+12
1.07206054e-04 2.28009642e+12 7.22139977e-05 7.46013998e+12
1.07681927e-04 2.24965023e+12 7.25345463e-05 7.36052454e+12
1.08159913e-04 2.21961038e+12 7.28565177e-05 7.26223858e+12
1.08640021e-04 2.18997155e+12 7.31799183e-05 7.16526467e+12
1.09122260e-04 2.16072851e+12 7.35047544e-05 7.06958576e+12
1.09606640e-04 2.13187614e+12 7.38310325e-05 6.97518503e+12
1.10093169e-04 2.10340929e+12 7.41587588e-05 6.88204569e+12
1.10581859e-04 2.07532261e+12 7.44879399e-05 6.79015023e+12
1.11072717e-04 2.04761075e+12 7.48185822e-05 6.69948107e+12
1.11565754e-04 2.02026840e+12 7.51506922e-05 6.61002093e+12
1.12060980e-04 1.99329044e+12 7.54842763e-05 6.52175302e+12
1.12558404e-04 1.96667230e+12 7.58193412e-05 6.43466239e+12
1.13058036e-04 1.94040964e+12 7.61558934e-05 6.34873482e+12
1.13559886e-04 1.91449815e+12 7.64939395e-05 6.26395625e+12
1.14063964e-04 1.88893349e+12 7.68334861e-05 6.18031244e+12
1.14570279e-04 1.86371082e+12 7.71745400e-05 6.09778758e+12
1.15078842e-04 1.83882519e+12 7.75171077e-05 6.01636545e+12
1.15589662e-04 1.81427172e+12 7.78611961e-05 5.93603011e+12
1.16102749e-04 1.79004566e+12 7.82068118e-05 5.85676602e+12
1.16618114e-04 1.76614265e+12 7.85539617e-05 5.77855887e+12
1.17135767e-04 1.74255848e+12 7.89026525e-05 5.70139494e+12
1.17655717e-04 1.71928900e+12 7.92528911e-05 5.62526064e+12
1.18177976e-04 1.69633013e+12 7.96046844e-05 5.55014259e+12
1.18702552e-04 1.67367784e+12 7.99580393e-05 5.47602762e+12
1.19229458e-04 1.65132815e+12 8.03129626e-05 5.40290274e+12
1.19758702e-04 1.62927715e+12 8.06694614e-05 5.33075511e+12
1.20290295e-04 1.60752094e+12 8.10275426e-05 5.25957198e+12
1.20824248e-04 1.58605554e+12 8.13872134e-05 5.18934036e+12
1.21360571e-04 1.56487699e+12 8.17484806e-05 5.12004724e+12
1.21899275e-04 1.54398136e+12 8.21113515e-05 5.05167983e+12
1.22440370e-04 1.52336479e+12 8.24758331e-05 4.98422545e+12
1.22983867e-04 1.50302341e+12 8.28419326e-05 4.91767144e+12
1.23529776e-04 1.48295337e+12 8.32096572e-05 4.85200524e+12
1.24078109e-04 1.46315090e+12 8.35790140e-05 4.78721447e+12
1.24628875e-04 1.44361232e+12 8.39500104e-05 4.72328709e+12
1.25182087e-04 1.42433425e+12 8.43226536e-05 4.66021210e+12
1.25737754e-04 1.40531351e+12 8.46969509e-05 4.59797903e+12
1.26295887e-04 1.38654691e+12 8.50729096e-05 4.53657749e+12
1.26856498e-04 1.36803129e+12 8.54505372e-05 4.47599710e+12
1.27419598e-04 1.34976334e+12 8.58298410e-05 4.41622706e+12
1.27985197e-04 1.33173972e+12 8.62108285e-05 4.35725641e+12
1.28553306e-04 1.31395713e+12 8.65935072e-05 4.29907438e+12
