# ell  Dl_TT[uK2]  Dl_EE[uK2]  Dl_TE[uK2]
     308    7.633571e+03    1.128898e+01    9.997014e+01
     312    7.366806e+03    9.267952e+00    7.615889e+01
     316    7.792958e+03    8.217082e+00    1.255703e+02
     320    7.974916e+03    1.369372e+01    2.176507e+02
     324    7.274922e+03    1.795654e+01    2.251096e+02
     328    6.759417e+03    1.465110e+01    1.731245e+02
     332    7.171462e+03    1.339010e+01    1.979764e+02
     336    7.478594e+03    2.043228e+01    2.909165e+02
     340    6.596014e+03    2.588888e+01    2.959065e+02
     344    6.163374e+03    2.118572e+01    2.421856e+02
     348    7.032171e+03    2.108328e+01    2.928727e+02
     352    7.194987e+03    3.105787e+01    3.711867e+02
     356    6.129058e+03    3.077752e+01    3.028349e+02
     360    6.146591e+03    2.647346e+01    2.830118e+02
     364    6.809211e+03    3.484727e+01    3.879527e+02
     368    6.014573e+03    4.002610e+01    3.811136e+02
     372    5.652830e+03    3.304210e+01    3.166177e+02
     376    6.707169e+03    3.806398e+01    4.154882e+02
     380    6.256888e+03    4.540175e+01    4.236494e+02
     384    5.652676e+03    3.728672e+01    3.367040e+02
     388    6.671189e+03    4.230494e+01    4.191677e+02
     392    6.088238e+03    4.946595e+01    4.248802e+02
     396    5.444754e+03    4.152712e+01    3.366097e+02
     400    6.435714e+03    4.816088e+01    4.352909e+02
     404    5.538224e+03    5.295966e+01    4.169797e+02
     408    5.369882e+03    4.473689e+01    3.498813e+02
     412    6.187707e+03    5.481724e+01    4.696879e+02
     416    5.005369e+03    5.322636e+01    3.895654e+02
     420    5.691505e+03    4.820599e+01    3.978172e+02
     424    5.732696e+03    5.993405e+01    4.750860e+02
     428    4.845037e+03    4.997496e+01    3.628435e+02
     432    6.026838e+03    5.543584e+01    4.649750e+02
     436    4.987525e+03    5.834446e+01    4.172187e+02
     440    5.351838e+03    5.001517e+01    3.894557e+02
     444    5.593008e+03    6.185293e+01    4.818709e+02
     448    4.705746e+03    5.109927e+01    3.538172e+02
     452    5.829929e+03    5.827016e+01    4.681617e+02
     456    4.564589e+03    5.771697e+01    3.832719e+02
     460    5.422237e+03    5.231031e+01    4.116748e+02
     464    4.916117e+03    6.242099e+01    4.326985e+02
     468    4.848452e+03    4.928511e+01    3.480730e+02
     472    5.247082e+03    6.339684e+01    4.526864e+02
     476    4.353162e+03    5.046932e+01    3.206928e+02
     480    5.434231e+03    5.974087e+01    4.431210e+02
     484    4.197517e+03    5.299223e+01    3.191615e+02
     488    5.460457e+03    5.488060e+01    4.026859e+02
     492    4.245509e+03    5.552395e+01    3.358659e+02
     496    5.237567e+03    5.034594e+01    3.709729e+02
     500    4.450052e+03    5.653618e+01    3.671283e+02
     508    4.561979e+03    5.736647e+01    3.886945e+02
     516    4.374435e+03    5.894066e+01    4.001576e+02
     524    4.262912e+03    5.955629e+01    3.920751e+02
     532    4.285319e+03    5.791573e+01    3.672225e+02
     540    4.254332e+03    5.581940e+01    3.625847e+02
     548    4.051839e+03    5.643955e+01    3.676200e+02
     556    3.630852e+03    5.687877e+01    3.440214e+02
     564    3.573369e+03    5.332717e+01    3.014123e+02
     572    3.386829e+03    5.066117e+01    2.933833e+02
     580    2.908854e+03    5.209668e+01    2.669750e+02
     588    2.787365e+03    4.673900e+01    2.168733e+02
     596    2.869298e+03    4.266446e+01    2.267019e+02
     604    2.806303e+03    4.373434e+01    2.075296e+02
     612    3.202911e+03    3.759722e+01    2.086944e+02
     620    3.293018e+03    4.219338e+01    2.701184e+02
     628    3.291801e+03    4.657987e+01    2.692691e+02
     636    3.013731e+03    5.296168e+01    3.076157e+02
     644    2.484456e+03    5.555470e+01    2.294140e+02
     652    2.316432e+03    4.558081e+01    2.035697e+02
     660    2.207531e+03    4.247731e+01    1.524723e+02
     668    2.782187e+03    3.852618e+01    2.170089e+02
     676    2.640350e+03    5.163753e+01    2.521602e+02
     684    2.550254e+03    5.871148e+01    2.807685e+02
     692    2.023724e+03    5.256747e+01    1.736993e+02
     700    2.069536e+03    4.345789e+01    1.798880e+02
     708    2.467136e+03    4.148690e+01    1.987196e+02
     716    2.481209e+03    6.480388e+01    2.840174e+02
     724    2.157536e+03    5.807394e+01    2.347154e+02
     732    1.653946e+03    4.713390e+01    1.537949e+02
     740    2.191623e+03    5.047808e+01    2.332129e+02
     748    2.351695e+03    6.359384e+01    2.583706e+02
     756    1.772403e+03    6.700573e+01    2.050983e+02
     764    1.966155e+03    4.706221e+01    1.775384e+02
     772    2.350235e+03    5.473405e+01    2.347902e+02
     780    1.961037e+03    7.709417e+01    2.688857e+02
     788    1.754655e+03    5.665826e+01    1.866753e+02
     796    2.229358e+03    5.158726e+01    1.928382e+02
     804    2.227139e+03    7.820431e+01    2.587553e+02
     812    1.754713e+03    6.432329e+01    2.053790e+02
     820    2.136361e+03    5.167431e+01    2.211435e+02
     828    2.279179e+03    7.606356e+01    2.711228e+02
     836    1.681402e+03    6.373625e+01    1.661022e+02
     844    2.077366e+03    5.821602e+01    2.356210e+02
     852    2.432759e+03    8.051330e+01    3.101561e+02
     860    2.004496e+03    5.514819e+01    1.496464e+02
     868    2.202412e+03    6.018981e+01    2.142892e+02
     876    2.019987e+03    8.071886e+01    2.773896e+02
     884    2.034284e+03    5.510869e+01    1.714785e+02
     892    2.811107e+03    6.745576e+01    3.019068e+02
     900    2.168587e+03    6.581040e+01    2.132422e+02
     908    2.359696e+03    4.839798e+01    1.500397e+02
     916    2.276992e+03    7.276765e+01    2.855107e+02
     924    1.791516e+03    5.419692e+01    1.453699e+02
     932    2.701040e+03    5.954981e+01    2.824363e+02
     940    2.266322e+03    6.312059e+01    2.371348e+02
     948    2.754785e+03    4.277981e+01    1.807971e+02
     956    2.819863e+03    6.195945e+01    2.755503e+02
     964    2.301228e+03    4.054817e+01    1.042307e+02
     972    2.868395e+03    5.355885e+01    2.463509e+02
     980    1.985965e+03    4.743243e+01    1.179325e+02
     988    2.596553e+03    4.295662e+01    1.992068e+02
     996    2.091667e+03    5.151806e+01    1.791347e+02
    1004    2.251012e+03    3.415517e+01    1.562635e+02
    1012    2.511565e+03    4.931538e+01    2.239736e+02
    1020    1.997547e+03    3.074553e+01    1.224033e+02
    1028    2.929133e+03    4.246100e+01    2.252902e+02
    1036    1.910586e+03    3.014523e+01    1.047872e+02
    1044    3.053761e+03    3.307721e+01    2.071279e+02
    1052    1.911634e+03    2.929969e+01    9.560823e+01
    1060    3.038695e+03    2.643675e+01    1.830202e+02
    1068    1.898372e+03    2.907864e+01    8.596329e+01
    1076    2.861496e+03    2.185301e+01    1.526341e+02
    1084    1.909310e+03    2.589471e+01    9.169341e+01
    1092    2.659954e+03    2.123310e+01    1.218005e+02
    1100    1.728745e+03    2.296392e+01    9.549826e+01
    1108    2.514797e+03    1.989771e+01    9.217810e+01
    1116    1.546549e+03    2.265893e+01    9.767746e+01
    1124    2.326178e+03    1.755679e+01    8.494994e+01
    1132    1.342360e+03    2.459031e+01    7.091316e+01
    1140    2.051338e+03    1.662937e+01    8.149211e+01
    1148    1.238590e+03    2.223163e+01    4.916531e+01
    1156    1.982688e+03    1.983720e+01    5.633441e+01
    1164    1.117428e+03    2.135088e+01    3.528966e+01
    1172    1.926208e+03    1.684093e+01    4.270752e+01
    1180    1.101310e+03    1.932968e+01    1.599686e+00
    1188    1.815073e+03    1.533397e+01    5.125966e+01
    1196    1.152182e+03    1.250062e+01    8.040551e+00
    1204    1.683833e+03    1.397087e+01    6.625587e+01
    1212    1.065880e+03    1.567523e+01    2.929816e+01
