# ell  Dl_CLASS  Dl_mlx_final  residual_pct
   156  4.571033e+03  3.759633e+03  -17.7509
   157  4.602627e+03  3.785725e+03  -17.7486
   158  4.633970e+03  3.811871e+03  -17.7407
   159  4.665052e+03  3.840315e+03  -17.6790
   160  4.695860e+03  3.873306e+03  -17.5166
   161  4.726383e+03  3.912305e+03  -17.2241
   162  4.756613e+03  3.955645e+03  -16.8390
   163  4.786540e+03  4.000872e+03  -16.4141
   164  4.816158e+03  4.045536e+03  -16.0008
   165  4.845459e+03  4.087607e+03  -15.6405
   166  4.874433e+03  4.126741e+03  -15.3391
   167  4.903074e+03  4.163018e+03  -15.0937
   168  4.931372e+03  4.196517e+03  -14.9016
   169  4.959319e+03  4.227516e+03  -14.7561
   170  4.986906e+03  4.257088e+03  -14.6347
   171  5.014124e+03  4.286507e+03  -14.5114
   172  5.040965e+03  4.317045e+03  -14.3607
   173  5.067419e+03  4.349690e+03  -14.1636
   174  5.093477e+03  4.384290e+03  -13.9234
   175  5.119129e+03  4.420407e+03  -13.6492
   176  5.144367e+03  4.457604e+03  -13.3498
   177  5.169179e+03  4.495517e+03  -13.0323
   178  5.193557e+03  4.534075e+03  -12.6981
   179  5.217490e+03  4.573279e+03  -12.3472
   180  5.240969e+03  4.613131e+03  -11.9794
   181  5.263987e+03  4.653413e+03  -11.5991
   182  5.286537e+03  4.693019e+03  -11.2270
   183  5.308613e+03  4.730623e+03  -10.8878
   184  5.330209e+03  4.764898e+03  -10.6058
   185  5.351318e+03  4.795005e+03  -10.3958
   186  5.371934e+03  4.822053e+03  -10.2362
   187  5.392051e+03  4.847642e+03  -10.0965
   188  5.411662e+03  4.873368e+03  -9.9469
   189  5.430762e+03  4.900468e+03  -9.7646
   190  5.449344e+03  4.928733e+03  -9.5536
   191  5.467401e+03  4.957596e+03  -9.3245
   192  5.484928e+03  4.986486e+03  -9.0875
   193  5.501918e+03  5.014997e+03  -8.8500
   194  5.518365e+03  5.043361e+03  -8.6077
   195  5.534263e+03  5.071974e+03  -8.3532
   196  5.549606e+03  5.101230e+03  -8.0794
   197  5.564387e+03  5.131387e+03  -7.7816
   198  5.578601e+03  5.162147e+03  -7.4652
   199  5.592241e+03  5.193077e+03  -7.1378
   200  5.605302e+03  5.223743e+03  -6.8071
   201  5.617778e+03  5.253703e+03  -6.4808
   202  5.629664e+03  5.282484e+03  -6.1670
   203  5.640958e+03  5.309604e+03  -5.8741
   204  5.651657e+03  5.334584e+03  -5.6103
   205  5.661757e+03  5.357091e+03  -5.3811
   206  5.671256e+03  5.377382e+03  -5.1818
   207  5.680150e+03  5.395863e+03  -5.0049
   208  5.688438e+03  5.412941e+03  -4.8431
