# ell  C_l^EE  D_l^EE[muK^2]
   452  4.12574115e-19  9.98736950e-02
   456  3.42521171e-19  8.43880531e-02
   460  2.92997299e-19  7.34572860e-02
   464  2.88422008e-19  7.35718766e-02
   468  9.78932712e-20  2.54029434e-02
   472  4.42821680e-19  1.16881162e-01
   476  3.78670696e-19  1.01648163e-01
   480  3.76694174e-19  1.02822396e-01
   484  2.31626495e-19  6.42817719e-02
   488  1.73496028e-19  4.89475234e-02
   492  2.99429456e-19  8.58655680e-02
   496  4.71154064e-19  1.37313587e-01
   500  3.49516172e-19  1.03511240e-01
   508  1.92558716e-19  5.88650042e-02
   516  3.47415030e-19  1.09572445e-01
   524  2.87464366e-19  9.34947256e-02
   532  1.72905460e-19  5.79642276e-02
   540  2.91508426e-19  1.00682651e-01
   548  1.97784145e-19  7.03488304e-02
   556  1.29882853e-19  4.75547946e-02
   564  2.14213386e-19  8.07024395e-02
   572  2.19154188e-19  8.49205756e-02
   580  1.53882439e-19  6.13063824e-02
   588  1.10164224e-19  4.51071830e-02
   596  2.35883451e-19  9.92271613e-02
   604  1.15327796e-19  4.98240250e-02
   612  3.77868415e-20  1.67596518e-02
   620  1.39857669e-19  6.36622640e-02
   628  1.06490353e-19  4.97316720e-02
   636  8.09890017e-20  3.87913682e-02
   644  6.18790487e-20  3.03879718e-02
   652  8.49247142e-20  4.27471707e-02
   660  5.27655152e-20  2.72149840e-02
   668  5.96639947e-20  3.15229906e-02
   676  1.15546585e-19  6.25179867e-02
   684  5.36927362e-20  2.97423113e-02
   692  8.33955093e-20  4.72818541e-02
   700  8.97667064e-20  5.20767476e-02
   708  1.18865802e-19  7.05421876e-02
   716  1.53085631e-19  9.29135622e-02
   724  7.97109689e-20  4.94660424e-02
   732  1.14444936e-19  7.25979135e-02
   740  1.84982362e-19  1.19920313e-01
   748  1.89086108e-19  1.25243600e-01
   756  1.31140193e-19  8.87290841e-02
   764  2.13408669e-19  1.47461740e-01
   772  2.22688860e-19  1.57111433e-01
   780  1.96066905e-19  1.41209018e-01
   788  1.37098996e-19  1.00774348e-01
   796  2.31189873e-19  1.73401440e-01
   804  1.19582089e-19  9.15019964e-02
   812  3.39081030e-19  2.64644318e-01
   820  2.51401566e-19  2.00095578e-01
   828  9.85280548e-20  7.99571453e-02
   836  1.26368679e-19  1.04540287e-01
   844  1.49946946e-19  1.26429751e-01
   852  3.09124219e-19  2.65603726e-01
   860  2.07546311e-19  1.81689205e-01
   868  1.13874517e-19  1.01549679e-01
   876  8.34670281e-20  7.58108130e-02
   884  1.97188665e-19  1.82385365e-01
   892  2.91575195e-19  2.74586633e-01
   900  1.56255374e-19  1.49801019e-01
   908  5.99813154e-20  5.85299593e-02
   916  8.16948776e-20  8.11282560e-02
   924  1.53362336e-19  1.54969033e-01
   932  2.43128312e-19  2.49945657e-01
   940  1.09531108e-19  1.14542712e-01
   948  4.84743122e-20  5.15583144e-02
   956  7.60917242e-20  8.23037758e-02
   964  7.02200020e-20  7.72285159e-02
   972  1.09709611e-19  1.22669412e-01
   980  8.83415711e-20  1.00409015e-01
   988  5.00396255e-20  5.78069148e-02
   996  5.41834224e-20  6.36111773e-02
  1004  6.73141100e-20  8.03005255e-02
  1012  4.43927123e-20  5.38039478e-02
  1020  9.01074660e-20  1.10942818e-01
  1028  4.39336432e-20  5.49437393e-02
  1036  6.02326943e-20  7.65038527e-02
  1044  3.85715257e-20  4.97503466e-02
  1052  8.80621456e-20  1.15330952e-01
  1060  1.29195388e-19  1.71783230e-01
  1068  1.06568974e-19  1.43844164e-01
  1076  8.47868658e-20  1.16163332e-01
  1084  1.22336329e-19  1.70108874e-01
  1092  1.40819641e-19  1.98709458e-01
  1100  1.02131202e-19  1.46234873e-01
  1108  1.52207902e-19  2.21116428e-01
  1116  1.12599160e-19  1.65945325e-01
  1124  5.96957637e-20  8.92431416e-02
  1132  1.20779717e-19  1.83139848e-01
  1140  7.87846042e-20  1.21155841e-01
  1148  4.99270837e-20  7.78593225e-02
  1156  1.11724791e-19  1.76666111e-01
  1164  2.53868658e-19  4.07005705e-01
  1172  1.99910012e-19  3.24917178e-01
  1180  1.08666161e-19  1.79035327e-01
  1188  6.96008702e-20  1.16231935e-01
  1196  1.81420250e-19  3.07060248e-01
  1204  3.44872697e-20  5.91541000e-02
  1212  1.93720685e-19  3.36706826e-01
  1220  2.02295640e-19  3.56266117e-01
  1228  1.27486692e-19  2.27471821e-01
  1236  7.66481259e-20  1.38548623e-01
  1244  2.85598808e-20  5.22948145e-02
  1252  1.10554046e-19  2.05041866e-01
  1260  3.12551131e-20  5.87109640e-02
  1268  1.50095554e-19  2.85536221e-01
  1276  1.58685502e-19  3.05697104e-01
  1284  6.83481504e-20  1.33323720e-01
  1292  3.71465487e-20  7.33655222e-02
  1300  3.51976240e-20  7.03795524e-02
  1308  6.14282094e-20  1.24344835e-01
  1316  3.14128429e-20  6.43667248e-02
  1324  5.02347400e-20  1.04188678e-01
  1332  7.67610684e-20  1.61134260e-01
  1340  4.40188622e-20  9.35157784e-02
  1348  2.06230118e-20  4.43370135e-02
  1356  1.53820649e-20  3.34631392e-02
  1364  4.18676756e-20  9.21591322e-02
  1372  3.42476523e-20  7.62724959e-02
  1380  3.93057066e-20  8.85606668e-02
  1388  4.68773044e-20  1.06848110e-01
  1396  2.93179402e-20  6.75970562e-02
  1404  3.11798882e-20  7.27160852e-02
  1412  3.29301830e-20  7.76754015e-02
  1420  4.89066498e-20  1.16670979e-01
  1428  1.79052323e-20  4.31969318e-02
  1436  3.76085937e-20  9.17510001e-02
  1444  5.96459131e-20  1.47139148e-01
  1452  1.32760498e-19  3.31141497e-01
  1460  1.06571036e-19  2.68753892e-01
  1468  5.37124367e-20  1.36941541e-01
  1476  6.68681950e-20  1.72345107e-01
  1484  1.07367449e-19  2.79734153e-01
  1492  4.78118860e-20  1.25914867e-01
  1500  1.19567704e-19  3.18271935e-01
  1512  8.32184021e-20  2.25072584e-01
  1524  1.39230136e-19  3.82560884e-01
  1536  3.58866687e-20  1.00163786e-01
  1548  1.66040401e-20  4.70704826e-02
  1560  1.42107804e-20  4.09126804e-02
  1572  7.48082888e-20  2.18697334e-01
  1584  1.02096680e-19  3.03046008e-01
  1596  9.65953860e-20  2.91076196e-01
  1608  2.25176528e-20  6.88775533e-02
  1620  1.73273853e-20  5.37952049e-02
  1632  2.36000186e-20  7.43585974e-02
  1644  3.62260970e-20  1.15824855e-01
  1656  3.81008017e-20  1.23603127e-01
  1668  5.81874838e-20  1.91511327e-01
  1680  2.85520355e-20  9.53293376e-02
  1692  2.87613413e-20  9.74044856e-02
  1704  1.76374827e-20  6.05819263e-02
  1716  1.63986149e-20  5.71225058e-02
  1728  1.49805188e-20  5.29149133e-02
  1740  2.29767655e-20  8.22904459e-02
  1752  9.45671731e-21  3.43375203e-02
  1764  3.45868319e-20  1.27311190e-01
  1776  2.02965355e-20  7.57294508e-02
  1788  3.14553232e-20  1.18955496e-01
  1800  2.92078638e-20  1.11943406e-01
  1812  4.24604798e-20  1.64912433e-01
  1824  6.17662678e-20  2.43081310e-01
  1836  3.32503600e-20  1.32583869e-01
  1848  4.73259400e-20  1.91183598e-01
  1860  3.46902585e-20  1.41964370e-01
  1872  2.09917485e-20  8.70171272e-02
  1884  3.23798591e-20  1.35950156e-01
  1896  8.49795601e-20  3.61353817e-01
  1908  6.16628832e-20  2.65534301e-01
  1920  1.46994405e-20  6.40976200e-02
  1932  1.16135334e-20  5.12762025e-02
  1944  1.01552229e-20  4.53960253e-02
  1956  1.12372922e-20  5.08550231e-02
  1968  3.18736730e-20  1.46021037e-01
  1980  3.14867140e-20  1.46012323e-01
  1992  5.00791299e-20  2.35053061e-01
  2004  1.91058850e-20  9.07594295e-02
  2016  7.35051029e-21  3.53367351e-02
  2028  8.14113178e-21  3.96047510e-02
  2040  5.70122888e-21  2.80642960e-02
  2052  7.57212038e-21  3.77134549e-02
  2064  1.68321173e-20  8.48166282e-02
  2076  8.77478848e-21  4.47314531e-02
  2088  1.21562536e-20  6.26875344e-02
  2100  7.50966259e-21  3.91722282e-02
  2112  8.63119914e-21  4.55383250e-02
  2124  1.08762780e-20  5.80371731e-02
  2136  2.31006083e-20  1.24664182e-01
  2148  1.86494380e-20  1.01776836e-01
  2160  1.03828858e-20  5.72979518e-02
  2172  4.76900384e-20  2.66109098e-01
  2184  2.64704436e-20  1.49340568e-01
  2196  1.55023712e-20  8.84245847e-02
  2208  1.36259863e-20  7.85733440e-02
  2220  2.12352046e-20  1.23785703e-01
  2232  2.59519678e-20  1.52920501e-01
  2244  1.96072582e-20  1.16780027e-01
  2256  9.09512468e-21  5.47509697e-02
  2268  4.54333960e-20  2.76417319e-01
  2280  3.31088669e-20  2.03571490e-01
  2292  8.91836410e-21  5.54136007e-02
  2304  4.88797422e-21  3.06898535e-02
  2316  4.61090264e-21  2.92525039e-02
  2328  1.38697206e-21  8.89063298e-03
  2340  4.17891605e-21  2.70640896e-02
  2352  1.19454170e-20  7.81579328e-02
  2364  4.32920281e-21  2.86153494e-02
  2376  1.10775721e-20  7.39660976e-02
  2388  9.23505149e-21  6.22877004e-02
  2400  2.18948609e-21  1.49161965e-02
  2412  7.61157140e-21  5.23746888e-02
  2424  1.59423473e-21  1.10792185e-02
  2436  5.51860573e-21  3.87324247e-02
  2448  3.97492031e-21  2.81735211e-02
  2460  5.61256061e-21  4.01717054e-02
  2472  6.72954968e-21  4.86374829e-02
  2484  1.34863931e-20  9.84206668e-02
  2496  8.15958906e-21  6.01234530e-02
