# ell  C_l  D_l[muK^2]
   452  9.82571009e-15  2.37855439e+03
   456  9.90519312e-15  2.44037459e+03
   460  9.61587885e-15  2.41079479e+03
   464  9.22401346e-15  2.35289944e+03
   468  9.43590045e-15  2.44858142e+03
   472  9.07577168e-15  2.39551672e+03
   476  8.96100211e-15  2.40543937e+03
   480  9.15034108e-15  2.49767600e+03
   484  8.75214242e-15  2.42892430e+03
   488  8.96482985e-15  2.52920037e+03
   492  8.90347925e-15  2.55319672e+03
   496  8.72214813e-15  2.54199111e+03
   500  9.02789569e-15  2.67366362e+03
   508  8.94465437e-15  2.73437178e+03
   516  8.82322119e-15  2.78278668e+03
   524  8.82699218e-15  2.87088527e+03
   532  8.94582497e-15  2.99896738e+03
   540  9.06478821e-15  3.13084229e+03
   548  9.10377967e-15  3.23807681e+03
   556  9.02746116e-15  3.30527896e+03
   564  8.86479695e-15  3.33971071e+03
   572  8.64065509e-15  3.34818792e+03
   580  8.38391263e-15  3.34013003e+03
   588  8.11094525e-15  3.32105903e+03
   596  7.81919831e-15  3.28923818e+03
   604  7.50668804e-15  3.24304657e+03
   612  7.15634420e-15  3.17406358e+03
   620  6.77422646e-15  3.08358202e+03
   628  6.39705328e-15  2.98746456e+03
   636  6.02719634e-15  2.88685115e+03
   644  5.64549492e-15  2.77242692e+03
   652  5.25797820e-15  2.64662288e+03
   660  4.90814469e-15  2.53148441e+03
   668  4.57420577e-15  2.41674474e+03
   676  4.24354909e-15  2.29602758e+03
   684  3.95762550e-15  2.19226915e+03
   692  3.68395169e-15  2.08865043e+03
   700  3.42333956e-15  1.98599679e+03
   708  3.20930810e-15  1.90459837e+03
   716  3.01700557e-15  1.83113682e+03
   724  2.88125923e-15  1.78801604e+03
   732  2.78941333e-15  1.76945870e+03
   740  2.72835263e-15  1.76873566e+03
   748  2.68435858e-15  1.77801921e+03
   756  2.63597818e-15  1.78349539e+03
   764  2.61233791e-15  1.80508082e+03
   772  2.61668256e-15  1.84612175e+03
   780  2.66881934e-15  1.92210592e+03
   788  2.71137258e-15  1.99298911e+03
   796  2.72652579e-15  2.04500090e+03
   804  2.72813028e-15  2.08751469e+03
   812  2.76593866e-15  2.15874638e+03
   820  2.82892381e-15  2.25159754e+03
   828  2.84907113e-15  2.31206832e+03
   836  2.81404356e-15  2.32795755e+03
   844  2.80079639e-15  2.36152854e+03
   852  2.82608985e-15  2.42821477e+03
   860  2.79746903e-15  2.44894705e+03
   868  2.70383949e-15  2.41119821e+03
   876  2.64802341e-15  2.40512706e+03
   884  2.61896510e-15  2.42235478e+03
   892  2.51184508e-15  2.36549300e+03
   900  2.38467219e-15  2.28616984e+03
   908  2.32187655e-15  2.26569456e+03
   916  2.21529736e-15  2.19993244e+03
   924  2.05680055e-15  2.07834858e+03
   932  1.96458450e-15  2.01967167e+03
   940  1.86177461e-15  1.94696025e+03
   948  1.70730205e-15  1.81592295e+03
   956  1.60992207e-15  1.74135448e+03
   964  1.50961462e-15  1.66028615e+03
   972  1.38105694e-15  1.54419874e+03
   980  1.30293467e-15  1.48091532e+03
   988  1.20794310e-15  1.39544337e+03
   996  1.11331141e-15  1.30702430e+03
  1004  1.06165659e-15  1.26647418e+03
  1012  9.88293797e-16  1.19781165e+03
  1020  9.40433470e-16  1.15788785e+03
  1028  8.98586125e-16  1.12377846e+03
  1036  8.52866675e-16  1.08325864e+03
  1044  8.42041276e-16  1.08608215e+03
  1052  8.13339512e-16  1.06519345e+03
  1060  8.10911651e-16  1.07821978e+03
  1068  8.03808803e-16  1.08496123e+03
  1076  7.92717171e-16  1.08607232e+03
  1084  8.05962067e-16  1.12069163e+03
  1092  7.94702722e-16  1.12139859e+03
  1100  8.11996276e-16  1.16264344e+03
  1108  8.11768372e-16  1.17927730e+03
  1116  8.16364055e-16  1.20313330e+03
  1124  8.27638857e-16  1.23729202e+03
  1132  8.17062222e-16  1.23892202e+03
  1140  8.29322282e-16  1.27534104e+03
  1148  8.11541737e-16  1.26556741e+03
  1156  8.12738277e-16  1.28515175e+03
  1164  7.95460393e-16  1.27529298e+03
  1172  7.79886687e-16  1.26756324e+03
  1180  7.65810587e-16  1.26172810e+03
  1188  7.36009110e-16  1.22911916e+03
  1196  7.23309650e-16  1.22422740e+03
  1204  6.83679202e-16  1.17267700e+03
  1212  6.69154705e-16  1.16306091e+03
  1220  6.24342162e-16  1.09953906e+03
  1228  6.07669166e-16  1.08425131e+03
  1236  5.63238899e-16  1.01810675e+03
  1244  5.44694595e-16  9.97367706e+02
  1252  5.01729802e-16  9.30545905e+02
  1260  4.83832207e-16  9.08851464e+02
  1268  4.45550765e-16  8.47599270e+02
  1276  4.28933408e-16  8.26311790e+02
  1284  3.96502131e-16  7.73439204e+02
  1292  3.82279230e-16  7.55012681e+02
  1300  3.57684279e-16  7.15209057e+02
  1308  3.46239911e-16  7.00869276e+02
  1316  3.28028544e-16  6.72149383e+02
  1324  3.20845334e-16  6.65444891e+02
  1332  3.09604439e-16  6.49911254e+02
  1340  3.04479175e-16  6.46850137e+02
  1348  3.00613687e-16  6.46283542e+02
  1356  2.96785125e-16  6.45645563e+02
  1364  2.97663260e-16  6.55216400e+02
  1372  2.95555815e-16  6.58228468e+02
  1380  3.00105441e-16  6.76175045e+02
  1388  2.97296230e-16  6.77631549e+02
  1396  3.03364612e-16  6.99454143e+02
  1404  3.00560430e-16  7.00951129e+02
  1412  3.05788767e-16  7.21291627e+02
  1420  3.02347643e-16  7.21276054e+02
  1428  3.06300746e-16  7.38960109e+02
  1436  3.04027627e-16  7.41714488e+02
  1444  3.02670442e-16  7.46650836e+02
  1452  3.01368579e-16  7.51696806e+02
  1460  2.93282908e-16  7.39609243e+02
  1468  2.93273088e-16  7.47708930e+02
  1476  2.80429104e-16  7.22773866e+02
  1484  2.78535456e-16  7.25693686e+02
  1492  2.66514179e-16  7.01877716e+02
  1500  2.59207117e-16  6.89971857e+02
  1512  2.41365400e-16  6.52797131e+02
  1524  2.28802287e-16  6.28677150e+02
  1536  2.09388358e-16  5.84426793e+02
  1548  1.94082737e-16  5.50201521e+02
  1560  1.79079944e-16  5.15569189e+02
  1572  1.61271341e-16  4.71466637e+02
  1584  1.49829964e-16  4.44729177e+02
  1596  1.37621771e-16  4.14703260e+02
  1608  1.27020452e-16  3.88533300e+02
  1620  1.20246478e-16  3.73321411e+02
  1632  1.12113188e-16  3.53244612e+02
  1644  1.09073200e-16  3.48737199e+02
  1656  1.04139491e-16  3.37839789e+02
  1668  1.04209623e-16  3.42983093e+02
  1680  1.00862811e-16  3.36760050e+02
  1692  1.01938662e-16  3.45230175e+02
  1704  1.00197665e-16  3.44162920e+02
  1716  1.00079768e-16  3.48615245e+02
  1728  9.98883720e-17  3.52830541e+02
  1740  9.75765610e-17  3.49466887e+02
  1752  9.77977094e-17  3.55105342e+02
  1764  9.33388684e-17  3.43572446e+02
  1776  9.25987668e-17  3.45500036e+02
  1788  8.68667228e-17  3.28506371e+02
  1800  8.45120837e-17  3.23904910e+02
  1812  7.85143294e-17  3.04942129e+02
  1824  7.47355235e-17  2.94121849e+02
  1836  6.90579014e-17  2.75364350e+02
  1848  6.46190914e-17  2.61043107e+02
  1860  5.97433514e-17  2.44490170e+02
  1872  5.53129819e-17  2.29288988e+02
  1884  5.15617873e-17  2.16487448e+02
  1896  4.79121110e-17  2.03733982e+02
  1908  4.49353328e-17  1.93501691e+02
  1920  4.27117389e-17  1.86246599e+02
  1932  4.04486423e-17  1.78589297e+02
  1944  3.94434061e-17  1.76320489e+02
  1956  3.79018921e-17  1.71527229e+02
  1968  3.74641878e-17  1.71632543e+02
  1980  3.67433727e-17  1.70388857e+02
  1992  3.67778695e-17  1.72621825e+02
  2004  3.59445313e-17  1.70748707e+02
  2016  3.63888266e-17  1.74935110e+02
  2028  3.51560760e-17  1.71026299e+02
  2040  3.54999350e-17  1.74748411e+02
  2052  3.42549852e-17  1.70609258e+02
  2064  3.35935153e-17  1.69276903e+02
  2076  3.22220962e-17  1.64259365e+02
  2088  3.12349289e-17  1.61072708e+02
  2100  2.95097775e-17  1.53930183e+02
  2112  2.78524881e-17  1.46950109e+02
  2124  2.65490384e-17  1.41668973e+02
  2136  2.44206646e-17  1.31787966e+02
  2148  2.31018757e-17  1.26075425e+02
  2160  2.09705390e-17  1.15725913e+02
  2172  1.98737454e-17  1.10894951e+02
  2184  1.80907874e-17  1.02064344e+02
  2196  1.70175388e-17  9.70670086e+01
  2208  1.60098144e-17  9.23195304e+01
  2220  1.48296245e-17  8.64458588e+01
  2232  1.39438795e-17  8.21635206e+01
  2244  1.32047573e-17  7.86469934e+01
  2256  1.27192006e-17  7.65672370e+01
  2268  1.22657269e-17  7.46248279e+01
  2280  1.18620752e-17  7.29345504e+01
  2292  1.16849568e-17  7.26036215e+01
  2304  1.12496646e-17  7.06326472e+01
  2316  1.11228446e-17  7.05655876e+01
  2328  1.08223464e-17  6.93723489e+01
  2340  1.04203474e-17  6.74857335e+01
  2352  1.03492537e-17  6.77143606e+01
  2364  9.82569055e-18  6.49462685e+01
  2376  9.66752121e-18  6.45510418e+01
  2388  9.13541660e-18  6.16156925e+01
  2400  8.53913601e-18  5.81741220e+01
  2412  8.28850938e-18  5.70326516e+01
  2424  7.66975430e-18  5.33013629e+01
  2436  7.35260663e-18  5.16043901e+01
  2448  6.74245216e-18  4.77892898e+01
  2460  6.21203582e-18  4.44624282e+01
  2472  5.94198906e-18  4.29454280e+01
  2484  5.41813476e-18  3.95403301e+01
  2496  5.02071873e-18  3.69948712e+01
