# ell  C_l  D_l[muK^2]
   452  2.31478011e-14  5.60349363e+03
   456  2.97724796e-14  7.33514248e+03
   460  3.33593864e-14  8.36352414e+03
   464  3.56823098e-14  9.10199092e+03
   468  2.72605306e-14  7.07400732e+03
   472  3.02188626e-14  7.97615818e+03
   476  2.73159045e-14  7.33252280e+03
   480  3.93343940e-14  1.07367115e+04
   484  3.53401458e-14  9.80771735e+03
   488  3.60883707e-14  1.01814225e+04
   492  3.08290143e-14  8.84064937e+03
   496  3.10381603e-14  9.04579084e+03
   500  4.12353088e-14  1.22120756e+04
   508  4.02827050e-14  1.23143821e+04
   516  4.03809778e-14  1.27358982e+04
   524  3.37174644e-14  1.09662465e+04
   532  3.11270717e-14  1.04349317e+04
   540  3.42461214e-14  1.18280982e+04
   548  4.18596025e-14  1.48888278e+04
   556  4.03853722e-14  1.47865406e+04
   564  3.38585225e-14  1.27558105e+04
   572  2.43210332e-14  9.42421479e+03
   580  3.56288214e-14  1.41944342e+04
   588  3.64517817e-14  1.49253281e+04
   596  2.63008795e-14  1.10637758e+04
   604  2.23283441e-14  9.64631267e+03
   612  2.63459315e-14  1.16852487e+04
   620  2.60629937e-14  1.18636983e+04
   628  1.84877443e-14  8.63389414e+03
   636  1.91522569e-14  9.17337211e+03
   644  2.01400481e-14  9.89050779e+03
   652  1.26401990e-14  6.36249116e+03
   660  1.30271101e-14  6.71902075e+03
   668  1.46668126e-14  7.74909216e+03
   676  8.57305509e-15  4.63856326e+03
   684  9.52458056e-15  5.27600304e+03
   692  9.69773866e-15  5.49822249e+03
   700  6.63085004e-15  3.84678372e+03
   708  6.91241438e-15  4.10224659e+03
   716  6.64843402e-15  4.03519053e+03
   724  4.71335210e-15  2.92495347e+03
   732  7.07401175e-15  4.48738505e+03
   740  5.25614776e-15  3.40745397e+03
   748  5.06262360e-15  3.35329344e+03
   756  5.17104466e-15  3.49871420e+03
   764  4.61331709e-15  3.18772321e+03
   772  6.13652289e-15  4.32943932e+03
