# ell  C_l  D_l[muK^2]
   452  3.35880829e-15  8.13082020e+02
   456  3.39301003e-15  8.35946898e+02
   460  3.43793119e-15  8.61922943e+02
   464  3.49179132e-15  8.90700547e+02
   468  3.55289371e-15  9.21962837e+02
   472  3.61962683e-15  9.55387253e+02
   476  3.69043205e-15  9.90638152e+02
   480  3.76382272e-15  1.02737260e+03
   484  3.83844249e-15  1.06525760e+03
   488  3.91297221e-15  1.10394630e+03
   492  3.98618694e-15  1.14309464e+03
   496  4.05699244e-15  1.18237372e+03
   500  4.12432952e-15  1.22144409e+03
   508  4.24499911e-15  1.29769193e+03
   516  4.34182099e-15  1.36938215e+03
   524  4.40987684e-15  1.43426551e+03
   532  4.44573235e-15  1.49037192e+03
   540  4.44728694e-15  1.53602640e+03
   548  4.41376369e-15  1.56990902e+03
   556  4.34556082e-15  1.59106647e+03
   564  4.24419423e-15  1.59895156e+03
   572  4.11199555e-15  1.59336690e+03
   580  3.95213386e-15  1.57452034e+03
   588  3.76846591e-15  1.54301347e+03
   596  3.56521979e-15  1.49975184e+03
   604  3.34694164e-15  1.44594894e+03
   612  3.11842123e-15  1.38311783e+03
   620  2.88443128e-15  1.31297359e+03
   628  2.64958631e-15  1.23737365e+03
   636  2.41832872e-15  1.15830888e+03
   644  2.19479901e-15  1.07783639e+03
   652  1.98265353e-15  9.97976029e+02
   660  1.78507265e-15  9.20690782e+02
   668  1.60471205e-15  8.47836674e+02
   676  1.44367740e-15  7.81120484e+02
   684  1.30340719e-15  7.22003476e+02
   692  1.18479451e-15  6.71730187e+02
   700  1.08814158e-15  6.31268283e+02
   708  1.01320005e-15  6.01294453e+02
   716  9.59189763e-16  5.82169190e+02
   724  9.24879493e-16  5.73950221e+02
   732  9.08645528e-16  5.76397454e+02
   740  9.08519223e-16  5.88974583e+02
   748  9.22270531e-16  6.10877673e+02
   756  9.47483700e-16  6.41064794e+02
   764  9.81626517e-16  6.78287135e+02
   772  1.02212516e-15  7.21129692e+02
   780  1.06642667e-15  7.68049372e+02
   788  1.11208026e-15  8.17432416e+02
