# ell  C_l  D_l[muK^2]
   452  1.96309169e-14  4.75214546e+03
   456  2.40375330e-14  5.92220504e+03
   460  2.48023834e-14  6.21819988e+03
   464  2.58274660e-14  6.58817667e+03
   468  1.88710233e-14  4.89696107e+03
   472  2.24105216e-14  5.91517514e+03
   476  2.22688469e-14  5.97771995e+03
   480  3.13013640e-14  8.54401654e+03
   484  2.67403456e-14  7.42107159e+03
   488  2.53481267e-14  7.15133388e+03
   492  2.33623410e-14  6.69947676e+03
   496  2.52655800e-14  7.36342455e+03
   500  3.32832279e-14  9.85702082e+03
   508  2.88523715e-14  8.82014072e+03
   516  3.20205424e-14  1.00990712e+04
   524  2.39311287e-14  7.78334492e+03
   532  2.51763569e-14  8.44003470e+03
   540  2.62841710e-14  9.07815958e+03
   548  3.31303554e-14  1.17839666e+04
   556  2.90660305e-14  1.06421216e+04
   564  2.59812195e-14  9.78812682e+03
   572  1.90936795e-14  7.39865511e+03
   580  2.68530332e-14  1.06981819e+04
   588  2.80532704e-14  1.14865240e+04
   596  1.91661787e-14  8.06247960e+03
   604  1.74362935e-14  7.53284426e+03
   612  2.10463547e-14  9.33471980e+03
   620  1.89576849e-14  8.62940984e+03
   628  1.32705829e-14  6.19744660e+03
   636  1.56279764e-14  7.48534461e+03
   644  1.53256534e-14  7.52622307e+03
   652  9.48385183e-15  4.77373208e+03
   660  1.12816420e-14  5.81875690e+03
   668  1.04259727e-14  5.50847862e+03
   676  6.34517167e-15  3.43313788e+03
   684  7.82932289e-15  4.33693968e+03
   692  6.86452738e-15  3.89190719e+03
   700  4.56418621e-15  2.64784109e+03
   708  6.03757546e-15  3.58306403e+03
   716  4.56361489e-15  2.76983355e+03
   724  3.41305764e-15  2.11803289e+03
   732  5.22308594e-15  3.31325401e+03
   740  4.14960975e-15  2.69010782e+03
   748  4.66083225e-15  3.08716180e+03
   756  3.80965646e-15  2.57760280e+03
   764  3.50165178e-15  2.41958149e+03
   772  4.31740274e-15  3.04601377e+03
   780  3.67875896e-15  2.64947285e+03
   788  4.78077212e-15  3.51409718e+03
   796  4.00448887e-15  3.00352315e+03
   804  5.12801412e-15  3.92386128e+03
   812  4.96878505e-15  3.87801325e+03
   820  5.60888658e-15  4.46422600e+03
   828  6.50793286e-15  5.28129510e+03
   836  5.86100128e-15  4.84859664e+03
   844  7.38545899e-15  6.22714747e+03
   852  5.50343903e-15  4.72862952e+03
   860  7.66657821e-15  6.71143947e+03
   868  5.52144568e-15  4.92384995e+03
   876  7.09077284e-15  6.44035455e+03
   884  4.67949112e-15  4.32819349e+03
   892  6.77476687e-15  6.38003664e+03
   900  4.36923819e-15  4.18876047e+03
   908  5.35202681e-15  5.22252486e+03
   916  3.79707760e-15  3.77074173e+03
   924  4.99523239e-15  5.04756483e+03
   932  2.70826439e-15  2.78420443e+03
   940  4.07299350e-15  4.25935363e+03
   948  3.10509467e-15  3.30264505e+03
   956  2.82037556e-15  3.05062817e+03
   964  3.11932694e-15  3.43066055e+03
   972  2.23323286e-15  2.49704069e+03
   980  2.79911821e-15  3.18147728e+03
   988  2.36845743e-15  2.73609596e+03
   996  1.69675882e-15  1.99198983e+03
  1004  2.35743161e-15  2.81223352e+03
  1012  1.98802254e-15  2.40948244e+03
  1020  2.46716790e-15  3.03764574e+03
  1028  1.61917982e-15  2.02495826e+03
  1036  2.14950852e-15  2.73017313e+03
  1044  2.39777917e-15  3.09270486e+03
  1052  2.74581972e-15  3.59607412e+03
  1060  2.03340550e-15  2.70369531e+03
  1068  2.33173411e-15  3.14731700e+03
  1076  2.16729833e-15  2.96933485e+03
  1084  3.11773558e-15  4.33521663e+03
  1092  3.01653484e-15  4.25660793e+03
  1100  2.55742095e-15  3.66180091e+03
  1108  3.32988451e-15  4.83741094e+03
  1116  2.91303143e-15  4.29313992e+03
  1124  3.22392937e-15  4.81966504e+03
  1132  2.46738156e-15  3.74132259e+03
  1140  1.88525288e-15  2.89916286e+03
  1148  4.04959422e-15  6.31518284e+03
  1156  3.17291003e-15  5.01720049e+03
  1164  3.15270512e-15  5.05445998e+03
  1172  3.07750850e-15  5.00192746e+03
  1180  2.56171097e-15  4.22060332e+03
  1188  3.83851615e-15  6.41023825e+03
  1196  2.13665670e-15  3.61636772e+03
  1204  1.84503067e-15  3.16467873e+03
  1212  3.29116430e-15  5.72038803e+03
  1220  1.88769276e-15  3.32444619e+03
  1228  1.77156814e-15  3.16097175e+03
  1236  2.22906990e-15  4.02925138e+03
  1244  1.49079397e-15  2.72973108e+03
  1252  1.71522944e-15  3.18119379e+03
  1260  1.54936090e-15  2.91038691e+03
  1268  1.07076929e-15  2.03699183e+03
  1276  1.52943795e-15  2.94636087e+03
  1284  8.79467745e-16  1.71553891e+03
  1292  8.61089088e-16  1.70067618e+03
  1300  1.08915509e-15  2.17782450e+03
  1308  6.75640277e-16  1.36765144e+03
  1316  4.72329341e-16  9.67830030e+02
  1324  7.07651452e-16  1.46769485e+03
  1332  5.87921916e-16  1.23414597e+03
  1340  3.97818712e-16  8.45145118e+02
  1348  3.66630006e-16  7.88210746e+02
  1356  5.70127607e-16  1.24029249e+03
  1364  6.67802523e-16  1.46996699e+03
  1372  6.68065844e-16  1.48784065e+03
  1380  6.06686448e-16  1.36694035e+03
  1388  7.00919552e-16  1.59761596e+03
  1396  7.81998816e-16  1.80301950e+03
  1404  8.74675179e-16  2.03987117e+03
  1412  8.62345450e-16  2.03409222e+03
  1420  7.66511507e-16  1.82857849e+03
  1428  8.82666565e-16  2.12946064e+03
  1436  5.22031911e-16  1.27356397e+03
  1444  7.27185038e-16  1.79387625e+03
  1452  9.76235965e-16  2.43500321e+03
  1460  4.67191981e-16  1.17817813e+03
  1468  9.87566195e-16  2.51783097e+03
  1476  1.01927360e-15  2.62706086e+03
  1484  6.28042108e-16  1.63629507e+03
  1492  7.97716042e-16  2.10082299e+03
  1500  8.08845473e-16  2.15302967e+03
  1512  3.41139131e-16  9.22645277e+02
  1524  7.21408326e-16  1.98220454e+03
  1536  4.92673114e-16  1.37510686e+03
  1548  4.45677079e-16  1.26344162e+03
  1560  5.27462875e-16  1.51855981e+03
  1572  3.22339367e-16  9.42338897e+02
  1584  3.29449124e-16  9.77879417e+02
  1596  2.90216993e-16  8.74526845e+02
  1608  2.44111587e-16  7.46694558e+02
  1620  3.31383615e-16  1.02882513e+03
  1632  2.86523320e-16  9.02773535e+02
  1644  2.97375639e-16  9.50792195e+02
  1656  4.34963330e-16  1.41106815e+03
  1668  3.88383929e-16  1.27828043e+03
  1680  5.02772605e-16  1.67865368e+03
  1692  3.32713589e-16  1.12678319e+03
  1704  4.38414592e-16  1.50588386e+03
  1716  1.89214005e-16  6.59103110e+02
  1728  5.96087684e-16  2.10552976e+03
  1740  5.78446423e-16  2.07168472e+03
  1752  5.67516310e-16  2.06066251e+03
  1764  5.14607879e-16  1.89422789e+03
  1776  2.48092430e-16  9.25670463e+02
  1788  5.82858671e-16  2.20421331e+03
  1800  4.54055876e-16  1.74023550e+03
  1812  1.42882984e-16  5.54943811e+02
  1824  4.56543559e-16  1.79672838e+03
  1836  3.41450972e-16  1.36151582e+03
  1848  2.43158780e-16  9.82293656e+02
  1860  2.80718101e-16  1.14879421e+03
  1872  1.87410553e-16  7.76873250e+02
  1884  1.91960734e-16  8.05966814e+02
  1896  1.63350397e-16  6.94605729e+02
  1908  1.12337295e-16  4.83749762e+02
  1920  1.04664036e-16  4.56392582e+02
  1932  1.09882434e-16  4.85154152e+02
  1944  9.31727838e-17  4.16502336e+02
  1956  7.01376500e-17  3.17412036e+02
  1968  1.08612487e-16  4.97580180e+02
  1980  1.01136832e-16  4.68998569e+02
  1992  1.02337263e-16  4.80333566e+02
  2004  1.32680458e-16  6.30277149e+02
  2016  1.03054733e-16  4.95423809e+02
  2028  1.49756232e-16  7.28529945e+02
  2040  1.20049358e-16  5.90942897e+02
  2052  9.05356063e-17  4.50918677e+02
  2064  1.95790329e-16  9.86582686e+02
  2076  1.36226244e-16  6.94443846e+02
  2088  7.77597421e-17  4.00992501e+02
  2100  1.79856991e-16  9.38177848e+02
  2112  1.09475011e-16  5.77591661e+02
  2124  6.23031842e-17  3.32457546e+02
  2136  1.35112515e-16  7.29144918e+02
  2148  7.85672822e-17  4.28770529e+02
  2160  5.09713557e-17  2.81285411e+02
  2172  6.17089575e-17  3.44334280e+02
  2184  8.30123787e-17  4.68338045e+02
  2196  3.42986471e-17  1.95637402e+02
  2208  5.31120363e-17  3.06267026e+02
  2220  5.85410146e-17  3.41251275e+02
  2232  5.34697919e-17  3.15067721e+02
  2244  3.67250689e-17  2.18733006e+02
  2256  3.74895525e-17  2.25680178e+02
  2268  6.10930785e-17  3.71691013e+02
  2280  4.28203378e-17  2.63282944e+02
  2292  7.55530757e-17  4.69443491e+02
  2304  6.45870629e-17  4.05519222e+02
  2316  6.70409836e-17  4.25321631e+02
  2328  5.58416529e-17  3.57950715e+02
  2340  9.97265225e-17  6.45863068e+02
  2352  5.84389802e-17  3.82361694e+02
  2364  3.50993513e-17  2.32001189e+02
  2376  7.94026883e-17  5.30179985e+02
  2388  8.01667318e-17  5.40700979e+02
  2400  7.23728376e-17  4.93050617e+02
  2412  3.36026904e-17  2.31217755e+02
  2424  8.72891738e-17  6.06620728e+02
  2436  3.25077183e-17  2.28155953e+02
  2448  2.52969913e-17  1.79300531e+02
  2460  3.44598811e-17  2.46645388e+02
  2472  4.69642315e-17  3.39431628e+02
  2484  1.92299458e-17  1.40335824e+02
  2496  1.10805302e-17  8.16462360e+01
