# ell  Dl_LCDM  Dl_Khr_DBI  Dl_Khr_full  res_pureDBI  res_full
   104  7.74034184e+02  7.74032960e+02  7.78086851e+02  -1.58231639e-06  5.23577192e-03
   108  7.00534885e+02  7.00535404e+02  6.85477324e+02  7.40433349e-07  -2.14943762e-02
   112  6.21374181e+02  6.21377476e+02  6.27473861e+02  5.30309514e-06  9.81643703e-03
   116  6.20233484e+02  6.20234191e+02  6.22559911e+02  1.13947498e-06  3.75088868e-03
   120  6.12930235e+02  6.12929886e+02  6.11339678e+02  -5.69350388e-07  -2.59500418e-03
   124  5.04318109e+02  5.04317706e+02  4.95741770e+02  -8.00227166e-07  -1.70058122e-02
   128  5.00491395e+02  5.00490436e+02  5.01165870e+02  -1.91621337e-06  1.34762661e-03
   132  4.98933460e+02  4.98932862e+02  5.24638016e+02  -1.19804924e-06  5.15190066e-02
   136  5.88746823e+02  5.88747271e+02  5.80483244e+02  7.60597596e-07  -1.40358779e-02
   140  6.15454164e+02  6.15454717e+02  6.10424545e+02  8.99336611e-07  -8.17220754e-03
   144  5.96775599e+02  5.96776059e+02  5.80504215e+02  7.70823463e-07  -2.72654975e-02
   148  5.44257139e+02  5.44257757e+02  5.37178477e+02  1.13609510e-06  -1.30060979e-02
   152  5.67499199e+02  5.67499199e+02  5.46318234e+02  0.00000000e+00  -3.73233401e-02
   156  5.59421794e+02  5.59422137e+02  5.74988767e+02  6.13798345e-07  2.78268987e-02
   160  6.42403957e+02  6.42404731e+02  6.40778682e+02  1.20468004e-06  -2.52998870e-03
   164  6.89106770e+02  6.89107582e+02  7.23346062e+02  1.17971021e-06  4.96864841e-02
   168  7.77772803e+02  7.77773542e+02  8.06287802e+02  9.50450250e-07  3.66623755e-02
   172  8.48415685e+02  8.48416161e+02  8.65551034e+02  5.61951263e-07  2.01968796e-02
   176  9.35475210e+02  9.35475023e+02  9.86737954e+02  -2.00086464e-07  5.47986136e-02
   180  9.78091913e+02  9.78092305e+02  1.00138995e+03  4.00281451e-07  2.38198819e-02
   184  1.03829869e+03  1.03829992e+03  1.08738019e+03  1.18190496e-06  4.72710767e-02
   188  1.08275462e+03  1.08275484e+03  1.10712834e+03  1.97175824e-07  2.25108409e-02
   192  1.12489470e+03  1.12489492e+03  1.14497231e+03  1.97929590e-07  1.78484328e-02
   196  1.13364728e+03  1.13364728e+03  1.17405727e+03  0.00000000e+00  3.56460038e-02
   200  1.24553043e+03  1.24553091e+03  1.22013211e+03  3.87851759e-07  -2.03915648e-02
   204  1.31630155e+03  1.31630172e+03  1.29586985e+03  1.27262788e-07  -1.55220514e-02
   208  1.53183722e+03  1.53183966e+03  1.48070065e+03  1.59146773e-06  -3.33825135e-02
   212  1.72626857e+03  1.72627255e+03  1.69559529e+03  2.30516799e-06  -1.77685492e-02
   216  1.91108126e+03  1.91108520e+03  1.86227606e+03  2.06312920e-06  -2.55380027e-02
   220  1.95586449e+03  1.95586800e+03  2.00429860e+03  1.79234454e-06  2.47635300e-02
   224  1.87189744e+03  1.87189987e+03  1.91084019e+03  1.29420338e-06  2.08038880e-02
   228  1.69234012e+03  1.69234326e+03  1.74661605e+03  1.85373110e-06  3.20715253e-02
   232  1.70673344e+03  1.70673593e+03  1.68061871e+03  1.45897835e-06  -1.53010037e-02
   236  1.91797227e+03  1.91797407e+03  1.89062951e+03  9.34503238e-07  -1.42560805e-02
   240  2.28769337e+03  2.28769429e+03  2.21824644e+03  4.05100950e-07  -3.03567461e-02
   244  2.25101945e+03  2.25102209e+03  2.29831306e+03  1.17015164e-06  2.10098600e-02
   248  2.01425845e+03  2.01426019e+03  2.07870430e+03  8.59620318e-07  3.19948226e-02
   252  1.83381582e+03  1.83381735e+03  1.81904376e+03  8.35582617e-07  -8.05536459e-03
   256  2.20569445e+03  2.20569774e+03  2.15529829e+03  1.49351831e-06  -2.28482015e-02
   260  2.42707232e+03  2.42707531e+03  2.40127629e+03  1.23196005e-06  -1.06284553e-02
   264  2.19928331e+03  2.19928612e+03  2.28076308e+03  1.27421121e-06  3.70483280e-02
   268  1.94543006e+03  1.94543208e+03  1.93678240e+03  1.03906398e-06  -4.44511571e-03
   272  2.14987887e+03  2.14988021e+03  2.09370237e+03  6.22591048e-07  -2.61300771e-02
   276  2.48909469e+03  2.48909683e+03  2.49838769e+03  8.61228260e-07  3.73348603e-03
   280  2.05932672e+03  2.05932861e+03  2.10854058e+03  9.18254673e-07  2.38980370e-02
   284  1.92190876e+03  1.92191184e+03  1.90947551e+03  1.60260628e-06  -6.46921545e-03
   288  2.37861979e+03  2.37862196e+03  2.31873332e+03  9.11069395e-07  -2.51769822e-02
   292  2.14911329e+03  2.14911620e+03  2.19711886e+03  1.35544808e-06  2.23373857e-02
   296  1.84038678e+03  1.84038995e+03  1.87219353e+03  1.72208413e-06  1.72826450e-02
   300  2.16397510e+03  2.16397690e+03  2.08641705e+03  8.35753676e-07  -3.58405442e-02
   304  2.09910331e+03  2.09910387e+03  2.12304121e+03  2.65401680e-07  1.14038678e-02
   308  1.73593092e+03  1.73593340e+03  1.79696151e+03  1.42745660e-06  3.51572678e-02
   312  2.03077314e+03  2.03077666e+03  1.94115618e+03  1.73361569e-06  -4.41294764e-02
   316  1.92332958e+03  1.92333138e+03  1.96276440e+03  9.38810521e-07  2.05034131e-02
   320  1.59764412e+03  1.59764659e+03  1.63315169e+03  1.54525094e-06  2.22249579e-02
   324  1.95040761e+03  1.95040845e+03  1.88285950e+03  4.32519591e-07  -3.46328168e-02
   328  1.65512003e+03  1.65512122e+03  1.68058659e+03  7.18200560e-07  1.53865329e-02
   332  1.48682632e+03  1.48682632e+03  1.48180951e+03  0.00000000e+00  -3.37417253e-03
   336  1.76826564e+03  1.76826655e+03  1.77010747e+03  5.13008386e-07  1.04159940e-03
   340  1.41739632e+03  1.41739725e+03  1.38636528e+03  6.55306975e-07  -2.18929869e-02
   344  1.41301062e+03  1.41301062e+03  1.39019486e+03  0.00000000e+00  -1.61469164e-02
   348  1.43292508e+03  1.43292411e+03  1.46392424e+03  -6.79022211e-07  2.16334779e-02
   352  1.26783706e+03  1.26783694e+03  1.25710858e+03  -9.81446731e-08  -8.46203371e-03
   356  1.36913239e+03  1.36913137e+03  1.29207143e+03  -7.43661955e-07  -5.62845199e-02
   360  1.06601244e+03  1.06601309e+03  1.08962685e+03  6.10422090e-07  2.21520956e-02
   364  1.17941152e+03  1.17941073e+03  1.17400620e+03  -6.76850789e-07  -4.58306950e-03
   368  1.14133903e+03  1.14134012e+03  1.13914976e+03  9.53152325e-07  -1.91815948e-03
   372  1.05768603e+03  1.05768874e+03  9.76842898e+02  2.56178348e-06  -7.64339632e-02
   376  1.01078036e+03  1.01078093e+03  9.99778001e+02  5.61752742e-07  -1.08850127e-02
   380  8.97402545e+02  8.97401458e+02  8.87433633e+02  -1.21170067e-06  -1.11086294e-02
   384  1.01328521e+03  1.01328603e+03  1.03103049e+03  8.03592262e-07  1.75126131e-02
   388  9.49336313e+02  9.49337295e+02  9.13132068e+02  1.03487381e-06  -3.81363738e-02
   392  9.14062892e+02  9.14063895e+02  8.87095493e+02  1.09705576e-06  -2.95027831e-02
   396  8.17816834e+02  8.17818015e+02  8.19602215e+02  1.44378896e-06  2.18310517e-03
   400  7.55910756e+02  7.55912764e+02  8.01626340e+02  2.65617485e-06  6.04774889e-02
   404  7.35607759e+02  7.35609234e+02  8.03959448e+02  2.00468160e-06  9.29186627e-02
   408  7.07998932e+02  7.08000436e+02  7.61980963e+02  2.12425274e-06  7.62459214e-02
   412  6.72821204e+02  6.72823036e+02  6.59592277e+02  2.72250615e-06  -1.96618761e-02
   416  5.87501167e+02  5.87502948e+02  5.63333665e+02  3.03080032e-06  -4.11360918e-02
   420  6.18874633e+02  6.18876581e+02  5.88848397e+02  3.14727142e-06  -4.85174778e-02
   424  6.55324122e+02  6.55326017e+02  5.97429463e+02  2.89135048e-06  -8.83450763e-02
   428  7.36672004e+02  7.36673567e+02  7.25938105e+02  2.12157617e-06  -1.45707980e-02
   432  8.30958748e+02  8.30960433e+02  8.51242240e+02  2.02883859e-06  2.44097460e-02
   436  8.25072917e+02  8.25074825e+02  8.42201126e+02  2.31253547e-06  2.07596309e-02
   440  7.27981923e+02  7.27983574e+02  7.72659227e+02  2.26883234e-06  6.13714478e-02
   444  6.29983026e+02  6.29984312e+02  6.74965575e+02  2.04145729e-06  7.14027952e-02
   448  6.53912331e+02  6.53913640e+02  6.25006008e+02  2.00230851e-06  -4.42051960e-02
   452  7.16797203e+02  7.16798331e+02  6.29213563e+02  1.57331554e-06  -1.22187475e-01
   456  8.55061941e+02  8.55063611e+02  8.16628611e+02  1.95247850e-06  -4.49480076e-02
   460  9.50477730e+02  9.50479854e+02  9.74635952e+02  2.23423895e-06  2.54169257e-02
   464  9.67305932e+02  9.67307661e+02  1.01197341e+03  1.78693962e-06  4.61772001e-02
   468  7.28195445e+02  7.28196654e+02  7.96720346e+02  1.66014582e-06  9.41023471e-02
   472  8.38601882e+02  8.38603559e+02  8.71119091e+02  1.99949986e-06  3.87755010e-02
   476  8.99162706e+02  8.99164298e+02  8.45509990e+02  1.77010037e-06  -5.96696411e-02
   480  1.27314423e+03  1.27314723e+03  1.20744345e+03  2.36083084e-06  -5.16051289e-02
   484  1.10942870e+03  1.10943117e+03  1.11271206e+03  2.22479404e-06  2.95950578e-03
   488  1.04449950e+03  1.04450165e+03  1.14794187e+03  2.05909205e-06  9.90353497e-02
   492  9.98654829e+02  9.98657076e+02  1.02601528e+03  2.24983753e-06  2.73973053e-02
   496  1.13114969e+03  1.13115277e+03  1.04517499e+03  2.72797764e-06  -7.60064764e-02
   500  1.48518507e+03  1.48518833e+03  1.39753314e+03  2.19575215e-06  -5.90175107e-02
   506  1.31963105e+03  1.31963350e+03  1.28084571e+03  1.84944901e-06  -2.93910543e-02
   512  1.08164090e+03  1.08164380e+03  1.05038213e+03  2.67491334e-06  -2.88993990e-02
   518  1.42807260e+03  1.42807502e+03  1.49875754e+03  1.69668863e-06  4.94967433e-02
   524  1.20047013e+03  1.20047233e+03  1.29095583e+03  1.83587043e-06  7.53752175e-02
   530  1.51453278e+03  1.51453504e+03  1.45794635e+03  1.48865653e-06  -3.73623016e-02
   536  1.86768803e+03  1.86769106e+03  1.90526726e+03  1.62045452e-06  2.01207208e-02
   542  1.38554255e+03  1.38554476e+03  1.39562630e+03  1.59534025e-06  7.27783584e-03
   548  1.83845936e+03  1.83846313e+03  1.77694828e+03  2.04843265e-06  -3.34579518e-02
   554  1.45387187e+03  1.45387510e+03  1.44487629e+03  2.22371293e-06  -6.18732240e-03
   560  1.58736364e+03  1.58736757e+03  1.48254118e+03  2.47740655e-06  -6.60355688e-02
   566  1.66451746e+03  1.66452180e+03  1.75307961e+03  2.60649990e-06  5.32059032e-02
   572  1.19771965e+03  1.19772326e+03  1.15809305e+03  3.01440061e-06  -3.30850335e-02
   578  1.85724047e+03  1.85724550e+03  1.83967590e+03  2.70671376e-06  -9.45734810e-03
   584  1.21448246e+03  1.21448597e+03  1.29882103e+03  2.88744778e-06  6.94440346e-02
   590  1.67311934e+03  1.67312214e+03  1.61756513e+03  1.66961127e-06  -3.32039767e-02
   596  1.34118324e+03  1.34118556e+03  1.38784885e+03  1.72686599e-06  3.47943572e-02
   602  1.52532395e+03  1.52532759e+03  1.49640323e+03  2.38322212e-06  -1.89603789e-02
   608  1.34264746e+03  1.34265135e+03  1.40963544e+03  2.89975285e-06  4.98924571e-02
   614  1.36400676e+03  1.36401111e+03  1.26073642e+03  3.18814167e-06  -7.57110180e-02
   620  1.40937148e+03  1.40937467e+03  1.47756690e+03  2.25696366e-06  4.83871122e-02
   626  1.05236609e+03  1.05236825e+03  1.00056551e+03  2.05423690e-06  -4.92229709e-02
   632  1.44454119e+03  1.44454370e+03  1.48252727e+03  1.73333969e-06  2.62962885e-02
   638  9.28779038e+02  9.28781283e+02  8.83913664e+02  2.41760101e-06  -4.83057562e-02
   644  1.23790538e+03  1.23790777e+03  1.22975316e+03  1.93214086e-06  -6.58549211e-03
   650  9.00522559e+02  9.00523724e+02  9.27758082e+02  1.29403270e-06  3.02441322e-02
