# l   D_l^TT[muK^2]   D_l^EE[muK^2]   D_l^TE[muK^2]  (sync gauge solver)
2.000000000000000000e+00 2.265164709538553041e+02 6.113243814403700703e-03 -9.522946251362345016e-02
3.000000000000000000e+00 3.091381336393856714e+02 1.419991745767964532e-02 6.591803258443773572e-01
4.000000000000000000e+00 4.021428399782931251e+02 1.509513383659433564e-02 1.127945413952317288e+00
5.000000000000000000e+00 4.342702711531935051e+02 1.091658503164000260e-02 1.118443846213518889e+00
6.000000000000000000e+00 4.353820439148106516e+02 6.364109304013106094e-03 9.370572995872546995e-01
7.000000000000000000e+00 4.317727289977280520e+02 3.457867987937843831e-03 7.461807125811074082e-01
8.000000000000000000e+00 4.300087864138741338e+02 2.152306611409411478e-03 5.924085450192488889e-01
9.000000000000000000e+00 4.299933994751268074e+02 1.691145654697891404e-03 4.859202139821665600e-01
1.000000000000000000e+01 4.321746935432060468e+02 1.466870736280270586e-03 4.238835202043303441e-01
1.100000000000000000e+01 4.362787385029036500e+02 1.257330987375535145e-03 3.978628590210818716e-01
1.200000000000000000e+01 4.408457452766354550e+02 1.082421078324096201e-03 3.966571188314862995e-01
1.300000000000000000e+01 4.476801723497745229e+02 1.002890000984422384e-03 4.103725708941301509e-01
1.400000000000000000e+01 4.536091243839293270e+02 1.025526432744963906e-03 4.337488214708517531e-01
1.500000000000000000e+01 4.636869035675297255e+02 1.114915292979870793e-03 4.625844551915575531e-01
1.600000000000000000e+01 4.683629804632573155e+02 1.243762501614319345e-03 4.928093183074530592e-01
1.700000000000000000e+01 4.834868999124142306e+02 1.411048206312865696e-03 5.207006746564444288e-01
1.800000000000000000e+01 4.854554983390971756e+02 1.633268711571532602e-03 5.490312875868540443e-01
1.900000000000000000e+01 5.063501312021147669e+02 1.931746193087323068e-03 5.779733570633087680e-01
2.000000000000000000e+01 5.056190922412068289e+02 2.308579085171229284e-03 6.102995451160824203e-01
2.100000000000000000e+01 5.301779645927156253e+02 2.750410718567545317e-03 6.427774608649124977e-01
2.200000000000000000e+01 5.283626017573067202e+02 3.255990231654631081e-03 6.786906450781003963e-01
2.300000000000000000e+01 5.541969680625062438e+02 3.828181281740240458e-03 7.123361541756803028e-01
2.400000000000000000e+01 5.522831569624974009e+02 4.464192199830739269e-03 7.419668867889576136e-01
2.500000000000000000e+01 5.788965215127913098e+02 5.175155746346582486e-03 7.660127951434699822e-01
2.600000000000000000e+01 5.816024919872442069e+02 5.975930739617840888e-03 7.851523213363306164e-01
2.700000000000000000e+01 6.018279376584243892e+02 6.852277274244133846e-03 8.098306793543145199e-01
2.800000000000000000e+01 6.184204921555580086e+02 7.789006804857117813e-03 8.277738773374661019e-01
2.900000000000000000e+01 6.277253433917393295e+02 8.809738552848134577e-03 8.423470629785257957e-01
3.000000000000000000e+01 6.501220579349196669e+02 9.948064930033034478e-03 8.464056993642484761e-01
3.200000000000000000e+01 6.895743777073188312e+02 1.253165813983369604e-02 8.501609867782083940e-01
3.400000000000000000e+01 7.241862229505643427e+02 1.552431307473044544e-02 8.214748746218984987e-01
3.600000000000000000e+01 7.539081965953781719e+02 1.903595798379783752e-02 7.806387366325809873e-01
3.800000000000000000e+01 7.782220948666371214e+02 2.301886190010774685e-02 7.289795648834692665e-01
4.000000000000000000e+01 8.018008606920800503e+02 2.753702322246115441e-02 6.319919396249228383e-01
4.200000000000000000e+01 8.264022421518991450e+02 3.260330510362215162e-02 5.134200978113064862e-01
4.400000000000000000e+01 8.631443156700149757e+02 3.827191568334194910e-02 3.447456138596804442e-01
4.600000000000000000e+01 9.230651535451663676e+02 4.454532402100500749e-02 1.470782907136410078e-01
4.800000000000000000e+01 9.904496546576745004e+02 5.146925655100090952e-02 -6.200473257829593188e-02
5.000000000000000000e+01 1.050558882514473225e+03 5.906721502440252097e-02 -3.159404126053858564e-01
5.200000000000000000e+01 1.084486391427742547e+03 6.727480115225849266e-02 -5.971478485043056894e-01
5.400000000000000000e+01 1.095284750508622437e+03 7.619020981155433248e-02 -9.160509671105995233e-01
5.600000000000000000e+01 1.099200310849534617e+03 8.584461749835566036e-02 -1.293200644389014942e+00
5.800000000000000000e+01 1.152045053407978912e+03 9.619288170787623771e-02 -1.716548014520570486e+00
6.000000000000000000e+01 1.243535687167547849e+03 1.071851091990085464e-01 -2.149788112548164154e+00
6.200000000000000000e+01 1.337293243729444612e+03 1.189223736347553989e-01 -2.617080388458003615e+00
6.400000000000000000e+01 1.386433104640295596e+03 1.313528409660262852e-01 -3.140342882453968087e+00
6.600000000000000000e+01 1.364952263142231232e+03 1.444668209750200605e-01 -3.681782360198011972e+00
6.800000000000000000e+01 1.370704875693050099e+03 1.582359718573940199e-01 -4.290478514189939752e+00
7.000000000000000000e+01 1.471881429025147554e+03 1.726678021909729133e-01 -4.930117369938146865e+00
7.200000000000000000e+01 1.621740202124576854e+03 1.877081888095573081e-01 -5.631898951240569495e+00
7.400000000000000000e+01 1.690617983895037014e+03 2.032863197501718622e-01 -6.331878452603447727e+00
7.600000000000000000e+01 1.665485797359186336e+03 2.194468239813286703e-01 -7.042371474814149934e+00
7.800000000000000000e+01 1.646463242736256461e+03 2.361841830233486206e-01 -7.847656911001468671e+00
8.000000000000000000e+01 1.802295953957064285e+03 2.533809772054841369e-01 -8.727119086669082648e+00
8.200000000000000000e+01 1.987768664406658672e+03 2.709219541681927024e-01 -9.518625276069522911e+00
8.400000000000000000e+01 1.962599685670432564e+03 2.890185178900111507e-01 -1.030262683622321873e+01
8.600000000000000000e+01 1.869696075091782177e+03 3.074097304746817305e-01 -1.131379410443076772e+01
8.800000000000000000e+01 2.004270023453078920e+03 3.261204983542960734e-01 -1.230352011061976647e+01
9.000000000000000000e+01 2.250826634033853225e+03 3.449835232057103518e-01 -1.318281321982718524e+01
9.200000000000000000e+01 2.269765778988203238e+03 3.640818356799234712e-01 -1.413955289218364797e+01
9.400000000000000000e+01 2.151393649922068562e+03 3.832180116910650636e-01 -1.522609365097236456e+01
9.600000000000000000e+01 2.280526647228958609e+03 4.022413766809528335e-01 -1.629233705395784071e+01
9.800000000000000000e+01 2.591424279832438060e+03 4.214818004269739182e-01 -1.712913002901823134e+01
1.000000000000000000e+02 2.511677092659105256e+03 4.404086499587699932e-01 -1.810211994846291006e+01
1.040000000000000000e+02 2.744867165631329044e+03 4.782012394103782316e-01 -2.046095819587293008e+01
1.080000000000000000e+02 2.612577359758069178e+03 5.144427345658981743e-01 -2.253605325233018775e+01
1.120000000000000000e+02 3.182570737135434683e+03 5.490271059441991230e-01 -2.401887014066450377e+01
1.160000000000000000e+02 3.025664497075320924e+03 5.812337935672743372e-01 -2.676228098686977930e+01
1.200000000000000000e+02 3.280520561674848068e+03 6.110595459187045941e-01 -2.851693077301416324e+01
1.240000000000000000e+02 3.611108596783769372e+03 6.368797060672135579e-01 -2.963065401227595430e+01
1.280000000000000000e+02 3.549843396571916855e+03 6.593665695416764949e-01 -3.196222275149540337e+01
1.320000000000000000e+02 3.838381946762355255e+03 6.783226341670558490e-01 -3.339034938541418285e+01
1.360000000000000000e+02 4.066731854301411204e+03 6.911494216597510176e-01 -3.428545443543505655e+01
1.400000000000000000e+02 4.052105061170104364e+03 6.996032861436722872e-01 -3.581604937564316060e+01
1.440000000000000000e+02 4.276249660036392925e+03 7.036224380917283083e-01 -3.616923784284700361e+01
1.480000000000000000e+02 4.669255276821789266e+03 7.091246758072726752e-01 -3.611276391289437271e+01
1.520000000000000000e+02 4.766575550569673396e+03 6.999825908493583215e-01 -3.711542180379481692e+01
1.560000000000000000e+02 4.600782203552568717e+03 6.829401591136443628e-01 -3.774539220062042943e+01
1.600000000000000000e+02 4.754203349433356379e+03 6.730508848719892745e-01 -3.734606028029953961e+01
1.640000000000000000e+02 5.129437838381035363e+03 6.619086771480447995e-01 -3.468769162916037629e+01
1.680000000000000000e+02 5.509969500910719944e+03 6.510408245158353369e-01 -3.274502254013182778e+01
1.720000000000000000e+02 5.575627554352716288e+03 6.175679468299235531e-01 -3.162216577588709754e+01
1.760000000000000000e+02 5.499959732620561226e+03 5.839571443202907775e-01 -3.170625726453528870e+01
1.800000000000000000e+02 5.441285149040169927e+03 5.439411900476109896e-01 -3.046916459907039254e+01
1.840000000000000000e+02 5.462004885137270321e+03 5.227411569434958771e-01 -2.863644989550456899e+01
1.880000000000000000e+02 5.601125888883111656e+03 5.038813809843789571e-01 -2.427947482849015515e+01
1.920000000000000000e+02 5.788471859798554760e+03 5.126196772198640117e-01 -1.962185830295817013e+01
1.960000000000000000e+02 5.940656610186658327e+03 5.165806207711144404e-01 -1.342936386762632139e+01
2.000000000000000000e+02 6.206046058568561421e+03 5.294402799014636951e-01 -9.059572870822355739e+00
2.040000000000000000e+02 6.209672326166190942e+03 5.294852948440873508e-01 -3.008497060675827672e+00
2.080000000000000000e+02 6.344486564922664002e+03 5.543011207074165503e-01 1.521231085504450853e+00
2.120000000000000000e+02 6.349996244384614329e+03 5.781995818146196120e-01 7.534654332326120141e+00
2.160000000000000000e+02 6.384888838900842529e+03 6.046196323320280896e-01 1.313275888810024128e+01
2.200000000000000000e+02 6.368982496625291787e+03 6.668216059819068731e-01 1.877473509375307259e+01
2.240000000000000000e+02 6.311162903898044533e+03 7.257666675152368851e-01 2.586527379655177938e+01
2.280000000000000000e+02 6.329258400046091992e+03 8.375990278370677444e-01 3.087647562434476001e+01
2.320000000000000000e+02 6.261405796791511420e+03 9.427329088069890117e-01 3.775628904362145022e+01
2.360000000000000000e+02 6.183463274126472243e+03 1.087976551707313000e+00 4.361875510256539457e+01
2.400000000000000000e+02 6.194723208290087314e+03 1.248790224455614384e+00 4.915381102693253723e+01
2.440000000000000000e+02 5.887504036118432850e+03 1.387106917709875376e+00 5.475780107169735800e+01
2.480000000000000000e+02 5.705570886183650146e+03 1.520319740750328164e+00 5.747697191018716012e+01
2.520000000000000000e+02 5.542512098983775104e+03 1.618951897269625073e+00 5.929079839474113101e+01
