# ell  C_l  D_l[muK^2]
   452  3.49850829e-15  8.46899835e+02
   456  3.30321123e-15  8.13822877e+02
   460  3.12775674e-15  7.84159178e+02
   464  2.97137793e-15  7.57951351e+02
   468  2.83329924e-15  7.35230722e+02
   472  2.71270271e-15  7.16007952e+02
   476  2.60877169e-15  7.00283525e+02
   480  2.52065017e-15  6.88036367e+02
   484  2.44749220e-15  6.79236353e+02
   488  2.38843227e-15  6.73835855e+02
   492  2.34259279e-15  6.71771120e+02
   496  2.30910697e-15  6.72968322e+02
   500  2.28708330e-15  6.77332972e+02
   508  2.27395815e-15  6.95146702e+02
   516  2.29624752e-15  7.24221559e+02
   524  2.34715554e-15  7.63387360e+02
   532  2.42011709e-15  8.11311673e+02
   540  2.50886803e-15  8.66525500e+02
   548  2.60751922e-15  9.27455166e+02
   556  2.71063118e-15  9.92459790e+02
   564  2.81328526e-15  1.05987299e+03
   572  2.91102171e-15  1.12799870e+03
   580  2.99999130e-15  1.19518910e+03
   588  3.07693274e-15  1.25986244e+03
   596  3.13915679e-15  1.32052341e+03
   604  3.18454058e-15  1.37578828e+03
   612  3.21159393e-15  1.42444285e+03
   620  3.21935055e-15  1.46542657e+03
   628  3.20735681e-15  1.49785602e+03
   636  3.17569705e-15  1.52106621e+03
   644  3.12490397e-15  1.53459848e+03
   652  3.05589270e-15  1.53819495e+03
   660  2.96995105e-15  1.53181808e+03
   668  2.86865444e-15  1.51563045e+03
   676  2.75389887e-15  1.49003290e+03
   684  2.62768249e-15  1.45556654e+03
   692  2.49218048e-15  1.41296474e+03
   700  2.34966769e-15  1.36312288e+03
   708  2.20245041e-15  1.30706786e+03
   716  2.05278480e-15  1.24591411e+03
   724  1.90289572e-15  1.18087537e+03
   732  1.75489963e-15  1.11321703e+03
   740  1.61078270e-15  1.04423775e+03
   748  1.47232028e-15  9.75210154e+02
   756  1.34112289e-15  9.07399956e+02
   764  1.21858589e-15  8.42022009e+02
   772  1.10587628e-15  7.80217780e+02
   780  1.00388525e-15  7.23006521e+02
   788  9.13278237e-16  6.71303380e+02
   796  8.34476853e-16  6.25890253e+02
   804  7.67666386e-16  5.87404079e+02
   812  7.12792573e-16  5.56316890e+02
   820  6.69583040e-16  5.32934651e+02
   828  6.37573241e-16  5.17401225e+02
   836  6.16120119e-16  5.09694129e+02
   844  6.04423600e-16  5.09627756e+02
   852  6.01557770e-16  5.16866603e+02
   860  6.06476278e-16  5.30918582e+02
   868  6.18068930e-16  5.51174248e+02
   876  6.35163379e-16  5.76901481e+02
   884  6.56561495e-16  6.07272269e+02
   892  6.81072194e-16  6.41389679e+02
   900  7.07505180e-16  6.78280652e+02
   908  7.34734431e-16  7.16956206e+02
   916  7.61691890e-16  7.56408926e+02
   924  7.87377581e-16  7.95626525e+02
   932  8.10901169e-16  8.33638929e+02
   940  8.31464164e-16  8.69507870e+02
   948  8.48401858e-16  9.02378346e+02
   956  8.61179509e-16  9.31485336e+02
   964  8.69370635e-16  9.56140730e+02
   972  8.72679623e-16  9.75767715e+02
   980  8.70930076e-16  9.89898978e+02
   988  8.64088856e-16  9.98215122e+02
   996  8.52242994e-16  1.00053075e+03
  1004  8.35576615e-16  9.96778257e+02
  1012  8.14376333e-16  9.87023758e+02
  1020  7.88986732e-16  9.71422411e+02
  1028  7.59853934e-16  9.50278952e+02
  1036  7.27497858e-16  9.24022901e+02
  1044  6.92484374e-16  8.93180580e+02
  1052  6.55396507e-16  8.58342740e+02
  1060  6.16836180e-16  8.20169457e+02
  1068  5.77403461e-16  7.79364904e+02
  1076  5.37702021e-16  7.36685544e+02
  1084  4.98331876e-16  6.92931322e+02
  1092  4.59857628e-16  6.48901383e+02
  1100  4.22791599e-16  6.05367160e+02
  1108  3.87598015e-16  5.63073846e+02
  1116  3.54675962e-16  5.22710985e+02
  1124  3.24372326e-16  4.84925624e+02
  1132  2.96979545e-16  4.50313927e+02
  1140  2.72709934e-16  4.19376371e+02
  1148  2.51712728e-16  3.92536095e+02
  1156  2.34057994e-16  3.70106895e+02
  1164  2.19751660e-16  3.52308868e+02
  1172  2.08733019e-16  3.39257363e+02
  1180  2.00888514e-16  3.30978297e+02
  1188  1.96043949e-16  3.27389120e+02
  1196  1.93983330e-16  3.28323708e+02
  1204  1.94442170e-16  3.33515865e+02
  1212  1.97123704e-16  3.42621630e+02
  1220  2.01704167e-16  3.55224466e+02
  1228  2.07842086e-16  3.70848261e+02
  1236  2.15181534e-16  3.88960655e+02
  1244  2.23367988e-16  4.08999869e+02
  1252  2.32049467e-16  4.30376431e+02
  1260  2.40885159e-16  4.52489160e+02
  1268  2.49546653e-16  4.74728308e+02
  1276  2.57729494e-16  4.96498793e+02
  1284  2.65161308e-16  5.17238459e+02
  1292  2.71604688e-16  5.36427217e+02
  1300  2.76857325e-16  5.53591191e+02
  1308  2.80752538e-16  5.68307759e+02
  1316  2.83158509e-16  5.80208096e+02
  1324  2.83988071e-16  5.89001589e+02
  1332  2.83180320e-16  5.94442629e+02
  1340  2.80725221e-16  5.96386100e+02
  1348  2.76655969e-16  5.94777308e+02
  1356  2.71040193e-16  5.89638374e+02
  1364  2.63978586e-16  5.81069692e+02
  1372  2.55589360e-16  5.69219701e+02
  1380  2.46015452e-16  5.54303544e+02
  1388  2.35412717e-16  5.36579574e+02
  1396  2.23958926e-16  5.16372024e+02
  1404  2.11843721e-16  4.94050715e+02
  1412  1.99275764e-16  4.70049771e+02
  1420  1.86459917e-16  4.44816013e+02
  1428  1.73597431e-16  4.18809219e+02
  1436  1.60876571e-16  3.92479080e+02
  1444  1.48476233e-16  3.66272646e+02
  1452  1.36559022e-16  3.40616070e+02
  1460  1.25273049e-16  3.15917166e+02
  1468  1.14751233e-16  2.92561865e+02
  1476  1.05111376e-16  2.70912521e+02
  1484  9.64452691e-17  2.51277607e+02
  1492  8.88221579e-17  2.33917361e+02
  1500  8.22865046e-17  2.19034775e+02
  1512  7.45584605e-17  2.01650896e+02
  1524  6.92908817e-17  1.90389680e+02
  1536  6.63558199e-17  1.85206663e+02
  1548  6.55367126e-17  1.85788801e+02
  1560  6.65430870e-17  1.91576816e+02
  1572  6.90250060e-17  2.01790270e+02
  1584  7.25977381e-17  2.15486485e+02
  1596  7.68542705e-17  2.31589205e+02
  1608  8.13935995e-17  2.48968755e+02
  1620  8.58394108e-17  2.66500030e+02
  1632  8.98521433e-17  2.83104834e+02
  1644  9.31383201e-17  2.97788979e+02
  1656  9.54588794e-17  3.09678944e+02
  1668  9.66363743e-17  3.18057407e+02
  1680  9.65697962e-17  3.22426563e+02
  1692  9.52393126e-17  3.22541850e+02
  1704  9.26887971e-17  3.18371163e+02
  1716  8.90096367e-17  3.10053838e+02
  1728  8.43370390e-17  2.97899370e+02
  1740  7.88415289e-17  2.82368054e+02
  1752  7.27270297e-17  2.64073227e+02
  1764  6.62312002e-17  2.43791422e+02
  1776  5.95973838e-17  2.22366873e+02
  1788  5.30530153e-17  2.00632106e+02
  1800  4.68055716e-17  1.79389193e+02
  1812  4.10325491e-17  1.59366487e+02
  1824  3.58813678e-17  1.41211217e+02
  1836  3.14668405e-17  1.25472190e+02
  1848  2.78693957e-17  1.12584586e+02
  1860  2.51265508e-17  1.02826416e+02
  1872  2.32359484e-17  9.63200125e+01
  1884  2.21560195e-17  9.30243182e+01
  1896  2.18139737e-17  9.27583368e+01
  1908  2.21093896e-17  9.52080251e+01
  1920  2.29223444e-17  9.99539891e+01
  1932  2.41207885e-17  1.06498375e+02
  1944  2.55668160e-17  1.14289154e+02
  1956  2.71229231e-17  1.22746374e+02
  1968  2.86575334e-17  1.31287120e+02
  1980  3.00493276e-17  1.39346777e+02
  1992  3.11919254e-17  1.46403453e+02
  2004  3.20022547e-17  1.52021557e+02
  2016  3.24254171e-17  1.55881473e+02
  2028  3.24307475e-17  1.57768196e+02
  2040  3.20084122e-17  1.57561392e+02
  2052  3.11677850e-17  1.55233250e+02
  2064  2.99356697e-17  1.50845108e+02
  2076  2.83550069e-17  1.44546010e+02
  2088  2.64830740e-17  1.36568278e+02
  2100  2.43944099e-17  1.27247181e+02
  2112  2.21732000e-17  1.16986107e+02
  2124  1.99028688e-17  1.06204185e+02
  2136  1.76614360e-17  9.53112767e+01
  2148  1.55193393e-17  8.46947373e+01
  2160  1.35372342e-17  7.47052229e+01
  2172  1.17649708e-17  6.56482126e+01
  2184  1.02408922e-17  5.77769184e+01
  2196  8.99191152e-18  5.12893177e+01
  2208  8.03181125e-18  4.63149056e+01
  2220  7.36057569e-18  4.29067698e+01
  2232  6.96565816e-18  4.10447463e+01
  2244  6.82282516e-18  4.06364672e+01
  2256  6.89854362e-18  4.15279577e+01
  2268  7.15175891e-18  4.35113859e+01
  2280  7.53715807e-18  4.63425855e+01
  2292  8.00792393e-18  4.97566476e+01
  2304  8.51732574e-18  5.34772623e+01
  2316  9.02206556e-18  5.72378183e+01
  2328  9.48366625e-18  6.07912720e+01
  2340  9.86699333e-18  6.39020234e+01
  2352  1.01443213e-17  6.63735042e+01
  2364  1.02938020e-17  6.80404115e+01
  2376  1.03010224e-17  6.87809953e+01
  2388  1.01606656e-17  6.85306949e+01
  2400  9.87716683e-18  6.72896540e+01
  2412  9.46426804e-18  6.51229644e+01
  2424  8.93993066e-18  6.21285207e+01
  2436  8.32504926e-18  5.84294946e+01
  2448  7.64375187e-18  5.41775403e+01
  2460  6.91924671e-18  4.95242653e+01
  2472  6.17638641e-18  4.46395230e+01
  2484  5.43942845e-18  3.96957268e+01
  2496  4.73032250e-18  3.48551036e+01
