# ell  D_l_CLASS[muK2]  D_l_mlx[muK2]  residual_pct
   128  3.625261e+03  3.643631e+03  +0.5067
   129  3.659884e+03  3.644438e+03  -0.4220
   130  3.694518e+03  3.642757e+03  -1.4010
   131  3.729157e+03  3.639181e+03  -2.4128
   132  3.763793e+03  3.634305e+03  -3.4404
   133  3.798421e+03  3.628753e+03  -4.4668
   134  3.833033e+03  3.623274e+03  -5.4724
   135  3.867619e+03  3.618646e+03  -6.4374
   136  3.902174e+03  3.615648e+03  -7.3427
   137  3.936686e+03  3.614707e+03  -8.1789
   138  3.971146e+03  3.614844e+03  -8.9723
   139  4.005546e+03  3.614726e+03  -9.7570
   140  4.039873e+03  3.613021e+03  -10.5660
   141  4.074118e+03  3.608783e+03  -11.4217
   142  4.108268e+03  3.602596e+03  -12.3086
   143  4.142311e+03  3.595429e+03  -13.2023
   144  4.176235e+03  3.588252e+03  -14.0793
   145  4.210033e+03  3.581893e+03  -14.9201
   146  4.243696e+03  3.576621e+03  -15.7192
   147  4.277217e+03  3.572563e+03  -16.4746
   148  4.310586e+03  3.569848e+03  -17.1842
   149  4.343797e+03  3.568417e+03  -17.8503
   150  4.376840e+03  3.567457e+03  -18.4924
   151  4.409705e+03  3.565972e+03  -19.1336
   152  4.442384e+03  3.562960e+03  -19.7962
   153  4.474866e+03  3.557740e+03  -20.4950
   154  4.507142e+03  3.550894e+03  -21.2163
   155  4.539201e+03  3.543320e+03  -21.9396
   156  4.571033e+03  3.535915e+03  -22.6452
   157  4.602627e+03  3.529504e+03  -23.3154
   158  4.633970e+03  3.524618e+03  -23.9396
   159  4.665052e+03  3.521713e+03  -24.5086
   160  4.695860e+03  3.521248e+03  -25.0138
   161  4.726383e+03  3.523406e+03  -25.4524
   162  4.756613e+03  3.527270e+03  -25.8449
   163  4.786540e+03  3.531652e+03  -26.2170
   164  4.816158e+03  3.535363e+03  -26.5937
   165  4.845459e+03  3.537458e+03  -26.9944
   166  4.874433e+03  3.537976e+03  -27.4177
   167  4.903074e+03  3.537201e+03  -27.8575
   168  4.931372e+03  3.535417e+03  -28.3076
   169  4.959319e+03  3.533062e+03  -28.7591
   170  4.986906e+03  3.531186e+03  -29.1909
   171  5.014124e+03  3.530994e+03  -29.5790
   172  5.040965e+03  3.533692e+03  -29.9005
   173  5.067419e+03  3.540100e+03  -30.1400
   174  5.093477e+03  3.549500e+03  -30.3128
   175  5.119129e+03  3.560790e+03  -30.4415
   176  5.144367e+03  3.572866e+03  -30.5480
   177  5.169179e+03  3.584827e+03  -30.6500
   178  5.193557e+03  3.596573e+03  -30.7493
   179  5.217490e+03  3.608203e+03  -30.8441
   180  5.240969e+03  3.619819e+03  -30.9323
   181  5.263987e+03  3.631484e+03  -31.0127
   182  5.286537e+03  3.643124e+03  -31.0868
   183  5.308613e+03  3.654627e+03  -31.1567
   184  5.330209e+03  3.665882e+03  -31.2244
   185  5.351318e+03  3.676890e+03  -31.2900
   186  5.371934e+03  3.688086e+03  -31.3453
   187  5.392051e+03  3.700019e+03  -31.3801
   188  5.411662e+03  3.713236e+03  -31.3846
   189  5.430762e+03  3.728232e+03  -31.3497
   190  5.449344e+03  3.745287e+03  -31.2709
   191  5.467401e+03  3.764628e+03  -31.1441
   192  5.484928e+03  3.786485e+03  -30.9656
   193  5.501918e+03  3.810884e+03  -30.7354
   194  5.518365e+03  3.837045e+03  -30.4677
   195  5.534263e+03  3.863991e+03  -30.1806
   196  5.549606e+03  3.890741e+03  -29.8916
   197  5.564387e+03  3.916608e+03  -29.6129
   198  5.578601e+03  3.942072e+03  -29.3358
   199  5.592241e+03  3.967902e+03  -29.0463
   200  5.605302e+03  3.994870e+03  -28.7305
   201  5.617778e+03  4.023442e+03  -28.3802
   202  5.629664e+03  4.052860e+03  -28.0088
   203  5.640958e+03  4.082062e+03  -27.6353
   204  5.651657e+03  4.109984e+03  -27.2782
   205  5.661757e+03  4.135933e+03  -26.9497
   206  5.671256e+03  4.160683e+03  -26.6356
   207  5.680150e+03  4.185378e+03  -26.3157
   208  5.688438e+03  4.211160e+03  -25.9698
   209  5.696117e+03  4.238856e+03  -25.5834
   210  5.703185e+03  4.268030e+03  -25.1641
   211  5.709639e+03  4.297928e+03  -24.7251
   212  5.715477e+03  4.327796e+03  -24.2794
   213  5.720698e+03  4.357151e+03  -23.8353
   214  5.725299e+03  4.386588e+03  -23.3824
   215  5.729279e+03  4.416969e+03  -22.9053
   216  5.732636e+03  4.449158e+03  -22.3890
   217  5.735370e+03  4.483706e+03  -21.8236
   218  5.737479e+03  4.519915e+03  -21.2212
   219  5.738961e+03  4.556771e+03  -20.5994
   220  5.739817e+03  4.593264e+03  -19.9754
   221  5.740045e+03  4.628685e+03  -19.3615
   222  5.739644e+03  4.663536e+03  -18.7487
   223  5.738615e+03  4.698622e+03  -18.1227
   224  5.736957e+03  4.734750e+03  -17.4693
   225  5.734671e+03  4.772483e+03  -16.7784
   226  5.731757e+03  4.811421e+03  -16.0568
   227  5.728217e+03  4.850924e+03  -15.3153
   228  5.724053e+03  4.890350e+03  -14.5649
   229  5.719266e+03  4.929180e+03  -13.8145
   230  5.713857e+03  4.967393e+03  -13.0641
   231  5.707829e+03  5.005087e+03  -12.3119
   232  5.701184e+03  5.042363e+03  -11.5559
   233  5.693924e+03  5.079328e+03  -10.7939
   234  5.686051e+03  5.116123e+03  -10.0233
   235  5.677570e+03  5.152896e+03  -9.2412
   236  5.668481e+03  5.189794e+03  -8.4447
   237  5.658790e+03  5.226866e+03  -7.6328
   238  5.648499e+03  5.263750e+03  -6.8115
   239  5.637612e+03  5.299987e+03  -5.9888
   240  5.626133e+03  5.335116e+03  -5.1726
   241  5.614066e+03  5.368869e+03  -4.3675
   242  5.601414e+03  5.401747e+03  -3.5646
   243  5.588184e+03  5.434445e+03  -2.7511
   244  5.574379e+03  5.467656e+03  -1.9145
   245  5.560005e+03  5.501805e+03  -1.0468
   246  5.545067e+03  5.536239e+03  -0.1592
   247  5.529570e+03  5.570036e+03  +0.7318
   248  5.513519e+03  5.602276e+03  +1.6098
   249  5.496922e+03  5.632365e+03  +2.4640
   250  5.479784e+03  5.661028e+03  +3.3075
   251  5.462110e+03  5.689320e+03  +4.1597
   252  5.443905e+03  5.718295e+03  +5.0403
   253  5.425177e+03  5.748653e+03  +5.9625
   254  5.405929e+03  5.779669e+03  +6.9135
   255  5.386168e+03  5.810263e+03  +7.8738
   256  5.365902e+03  5.839356e+03  +8.8234
   257  5.345135e+03  5.866175e+03  +9.7479
   258  5.323875e+03  5.891174e+03  +10.6558
   259  5.302128e+03  5.915115e+03  +11.5612
   260  5.279903e+03  5.938760e+03  +12.4786
   261  5.257205e+03  5.962708e+03  +13.4197
   262  5.234043e+03  5.986920e+03  +14.3842
   263  5.210425e+03  6.011192e+03  +15.3686
   264  5.186358e+03  6.035324e+03  +16.3692
   265  5.161851e+03  6.059068e+03  +17.3817
   266  5.136912e+03  6.081993e+03  +18.3979
   267  5.111550e+03  6.103624e+03  +19.4085
   268  5.085773e+03  6.123484e+03  +20.4042
   269  5.059592e+03  6.141307e+03  +21.3795
   270  5.033015e+03  6.157673e+03  +22.3456
   271  5.006051e+03  6.173372e+03  +23.3182
   272  4.978712e+03  6.189193e+03  +24.3131
   273  4.951006e+03  6.205663e+03  +25.3414
   274  4.922944e+03  6.222254e+03  +26.3929
   275  4.894537e+03  6.238179e+03  +27.4519
   276  4.865796e+03  6.252646e+03  +28.5020
   277  4.836731e+03  6.265045e+03  +29.5306
   278  4.807354e+03  6.275480e+03  +30.5392
   279  4.777676e+03  6.284234e+03  +31.5333
   280  4.747705e+03  6.291590e+03  +32.5185
   281  4.717450e+03  6.297847e+03  +33.5011
   282  4.686919e+03  6.303371e+03  +34.4886
   283  4.656121e+03  6.308542e+03  +35.4892
   284  4.625065e+03  6.313742e+03  +36.5114
   285  4.593759e+03  6.319137e+03  +37.5592
   286  4.562213e+03  6.324026e+03  +38.6175
   287  4.530435e+03  6.327494e+03  +39.6664
   288  4.498436e+03  6.328625e+03  +40.6850
   289  4.466223e+03  6.326823e+03  +41.6593
   290  4.433808e+03  6.322770e+03  +42.6036
   291  4.401200e+03  6.317467e+03  +43.5396
   292  4.368409e+03  6.311916e+03  +44.4900
   293  4.335444e+03  6.306930e+03  +45.4737
   294  4.302317e+03  6.302565e+03  +46.4923
   295  4.269038e+03  6.298689e+03  +47.5435
   296  4.235616e+03  6.295169e+03  +48.6246
   297  4.202063e+03  6.291821e+03  +49.7317
   298  4.168390e+03  6.288252e+03  +50.8557
   299  4.134608e+03  6.284018e+03  +51.9858
   300  4.100727e+03  6.278673e+03  +53.1112
   301  4.066760e+03  6.271950e+03  +54.2247
   302  4.032717e+03  6.264283e+03  +55.3365
   303  3.998611e+03  6.256284e+03  +56.4614
   304  3.964453e+03  6.248565e+03  +57.6148
   305  3.930255e+03  6.241634e+03  +58.8099
   306  3.896029e+03  6.235583e+03  +60.0497
   307  3.861788e+03  6.230401e+03  +61.3346
   308  3.827543e+03  6.226078e+03  +62.6651
   309  3.793308e+03  6.222431e+03  +64.0371
   310  3.759096e+03  6.218602e+03  +65.4281
   311  3.724919e+03  6.213557e+03  +66.8105
   312  3.690789e+03  6.206267e+03  +68.1556
   313  3.656716e+03  6.195925e+03  +69.4396
   314  3.622707e+03  6.182625e+03  +70.6632
   315  3.588770e+03  6.166688e+03  +71.8329
   316  3.554914e+03  6.148431e+03  +72.9559
   317  3.521146e+03  6.128156e+03  +74.0387
   318  3.487475e+03  6.106080e+03  +75.0860
   319  3.453909e+03  6.082403e+03  +76.1020
   320  3.420457e+03  6.057325e+03  +77.0911
   321  3.387125e+03  6.031011e+03  +78.0569
   322  3.353923e+03  6.003479e+03  +78.9987
   323  3.320859e+03  5.974717e+03  +79.9148
   324  3.287940e+03  5.944709e+03  +80.8034
   325  3.255176e+03  5.913531e+03  +81.6655
   326  3.222575e+03  5.881631e+03  +82.5134
   327  3.190145e+03  5.849544e+03  +83.3629
