# ell  C_l^EE  D_l^EE[muK^2]
   452  2.36198400e-19  5.71776223e-02
   456  2.85738298e-19  7.03982723e-02
   460  2.13388998e-19  5.34987069e-02
   464  2.83042904e-19  7.21997526e-02
   468  1.95000811e-19  5.06019926e-02
   472  2.72306281e-19  7.18742461e-02
   476  1.90661448e-19  5.11800519e-02
   480  2.48879182e-19  6.79340315e-02
   484  1.92969954e-19  5.35536773e-02
   488  2.06277752e-19  5.81960589e-02
   492  1.97994430e-19  5.67776611e-02
   496  1.66856185e-19  4.86287245e-02
   500  1.92581515e-19  5.70341316e-02
   508  1.70384188e-19  5.20862735e-02
   516  1.39309067e-19  4.39371753e-02
   524  1.03306083e-19  3.35992040e-02
   532  9.24218527e-20  3.09831818e-02
   540  8.85199061e-20  3.05734518e-02
   548  8.83031718e-20  3.14081033e-02
   556  7.45023225e-20  2.72779860e-02
   564  8.30166347e-20  3.12755662e-02
   572  7.06525657e-20  2.73773301e-02
   580  8.72748118e-20  3.47700689e-02
   588  8.32813971e-20  3.40999017e-02
   596  6.46619493e-20  2.72008132e-02
   604  9.54463611e-20  4.12348285e-02
   612  8.62381865e-20  3.82493462e-02
   620  1.01173792e-19  4.60536251e-02
   628  1.31596849e-19  6.14565651e-02
   636  1.37393549e-19  6.58075005e-02
   644  1.32965018e-19  6.52973391e-02
   652  1.42436249e-19  7.16958157e-02
   660  1.95040193e-19  1.00596302e-01
   668  1.96515366e-19  1.03827309e-01
   676  1.26369869e-19  6.83740653e-02
   684  2.07349338e-19  1.14858154e-01
   692  2.58090200e-19  1.46326622e-01
   700  1.68887340e-19  9.79773429e-02
   708  2.33586654e-19  1.38624510e-01
   716  1.91024425e-19  1.15940077e-01
   724  1.66520479e-19  1.03337209e-01
   732  2.71902849e-19  1.72481023e-01
   740  1.70478021e-19  1.10517443e-01
   748  2.33967959e-19  1.54971667e-01
   756  1.92535490e-19  1.30268968e-01
   764  1.51444556e-19  1.04645598e-01
   772  2.10548149e-19  1.48545920e-01
   780  1.18516215e-19  8.53563655e-02
   788  1.88945474e-19  1.38884001e-01
   796  1.06649043e-19  7.99909500e-02
   804  1.35751518e-19  1.03874544e-01
   812  9.78140622e-20  7.63414447e-02
   820  1.05437753e-19  8.39200349e-02
   828  1.00410175e-19  8.14845170e-02
   836  7.79720673e-20  6.45035012e-02
   844  8.45704095e-20  7.13066598e-02
   852  5.16168199e-20  4.43498724e-02
   860  8.30434211e-20  7.26974771e-02
   868  6.13692922e-20  5.47271863e-02
   876  6.68138208e-20  6.06851615e-02
   884  7.22695100e-20  6.68441107e-02
   892  5.78470925e-20  5.44766450e-02
   900  8.40663333e-20  8.05938514e-02
   908  7.87701608e-20  7.68641747e-02
   916  6.24643049e-20  6.20310632e-02
   924  9.53746743e-20  9.63738649e-02
   932  7.11513621e-20  7.31464543e-02
