# ell  Dl_TT  Dl_EE  Dl_TE
     308    3.487799e+03    4.770108e+00    8.513234e+01
     312    3.430062e+03    4.701231e+00    9.012666e+01
     316    3.247754e+03    5.708156e+00    1.016121e+02
     320    3.134757e+03    6.902739e+00    1.036445e+02
     324    2.924651e+03    6.869824e+00    8.944935e+01
     328    2.817802e+03    6.293283e+00    8.846724e+01
     332    2.791043e+03    7.086637e+00    9.832322e+01
     336    2.445959e+03    8.674198e+00    9.680506e+01
     340    2.288878e+03    8.513292e+00    8.500585e+01
     344    2.374632e+03    7.702615e+00    8.378497e+01
     348    2.196840e+03    8.971406e+00    9.224950e+01
     352    2.095077e+03    1.025286e+01    8.122855e+01
     356    1.958527e+03    9.249948e+00    6.847193e+01
     360    1.933352e+03    9.237166e+00    7.721874e+01
     364    1.651760e+03    1.113290e+01    7.143191e+01
     368    1.595116e+03    1.068831e+01    5.656463e+01
     372    1.496400e+03    9.738975e+00    6.393367e+01
     376    1.514595e+03    1.155987e+01    6.019363e+01
     380    1.443174e+03    1.144362e+01    4.203451e+01
     384    1.407763e+03    1.012502e+01    4.997470e+01
     388    1.392529e+03    1.184573e+01    4.260204e+01
     392    1.356844e+03    1.154681e+01    2.436866e+01
     396    1.217407e+03    1.033873e+01    3.368671e+01
     400    1.264582e+03    1.201303e+01    2.178561e+01
     404    1.287052e+03    1.105566e+01    8.210181e+00
     408    1.090217e+03    1.054670e+01    1.821851e+01
     412    1.169122e+03    1.179104e+01    1.614753e-02
     416    1.117129e+03    1.013546e+01    4.516029e-02
     420    9.663995e+02    1.078953e+01   -1.366274e-01
     424    1.029554e+03    1.076064e+01   -1.362422e+01
     428    1.063451e+03    9.406510e+00   -5.121105e+00
     432    1.050464e+03    1.052570e+01   -2.300359e+01
     436    9.809734e+02    9.156343e+00   -1.777993e+01
     440    9.679882e+02    9.246761e+00   -1.908990e+01
     444    1.106036e+03    8.992933e+00   -3.196381e+01
     448    1.070409e+03    8.117420e+00   -2.367519e+01
     452    1.169059e+03    8.566764e+00   -3.950287e+01
     456    1.033751e+03    7.243899e+00   -2.755737e+01
     460    1.250103e+03    7.468872e+00   -3.818149e+01
     464    1.322455e+03    6.650559e+00   -3.911017e+01
     468    1.174191e+03    6.518079e+00   -3.684341e+01
     472    1.394092e+03    5.938523e+00   -3.931319e+01
     476    1.315211e+03    5.383488e+00   -3.259694e+01
     480    1.655680e+03    5.033182e+00   -3.982232e+01
     484    1.409311e+03    4.640938e+00   -3.170862e+01
     488    1.622300e+03    4.495961e+00   -3.377642e+01
     492    1.410314e+03    4.064533e+00   -2.234840e+01
     496    1.595144e+03    3.947035e+00   -2.393562e+01
     500    1.469357e+03    3.779693e+00   -1.590923e+01
     508    1.360178e+03    4.013079e+00   -1.801308e+01
     516    1.498622e+03    3.748304e+00   -1.736475e+01
     524    1.713976e+03    3.209276e+00   -9.374965e+00
     532    1.719473e+03    3.511341e+00    1.948325e+00
     540    1.508797e+03    4.729861e+00    1.230301e+01
     548    1.456804e+03    5.638774e+00    7.021291e+00
     556    1.700796e+03    5.467214e+00    9.244533e+00
