# ell  Dl_TT  Dl_EE  Dl_TE
     308    3.483618e+03    7.018042e+00    1.064373e+02
     312    3.423244e+03    6.830791e+00    1.101592e+02
     316    3.245343e+03    7.914606e+00    1.212531e+02
     320    3.034545e+03    9.519242e+00    1.220994e+02
     324    2.923762e+03    9.594421e+00    1.103836e+02
     328    2.824148e+03    8.807043e+00    1.046998e+02
     332    2.735095e+03    9.460601e+00    1.152297e+02
     336    2.445259e+03    1.142515e+01    1.113806e+02
     340    2.286015e+03    1.135878e+01    9.997015e+01
     344    2.273432e+03    1.034361e+01    9.853788e+01
     348    2.134746e+03    1.136726e+01    1.054188e+02
     352    2.089035e+03    1.300506e+01    9.384498e+01
     356    1.937192e+03    1.185558e+01    7.948315e+01
     360    1.816794e+03    1.155536e+01    8.717387e+01
     364    1.654068e+03    1.348340e+01    8.012787e+01
     368    1.535023e+03    1.321861e+01    6.340102e+01
     372    1.451966e+03    1.194884e+01    7.342805e+01
     376    1.437527e+03    1.348758e+01    6.545150e+01
     380    1.345311e+03    1.354576e+01    5.141953e+01
     384    1.372384e+03    1.189147e+01    5.457771e+01
     388    1.331801e+03    1.326739e+01    4.854535e+01
     392    1.285586e+03    1.296299e+01    2.925150e+01
     396    1.213839e+03    1.167902e+01    3.715862e+01
     400    1.203807e+03    1.288728e+01    2.266092e+01
     404    1.164194e+03    1.204619e+01    1.239207e+01
     408    1.000827e+03    1.133409e+01    1.806985e+01
     412    1.095086e+03    1.224577e+01    2.292283e+00
     416    1.041989e+03    1.066458e+01    5.437916e-01
     420    9.092348e+02    1.102532e+01   -1.090920e-01
     424    1.004175e+03    1.068532e+01   -1.044869e+01
     428    9.682891e+02    9.570440e+00   -4.967435e+00
     432    9.850942e+02    1.003890e+01   -1.889802e+01
     436    9.378760e+02    8.946066e+00   -1.575667e+01
     440    9.498045e+02    8.770148e+00   -1.659569e+01
     444    1.111753e+03    8.211951e+00   -2.541532e+01
     448    9.667335e+02    7.599480e+00   -2.102331e+01
     452    1.084604e+03    7.554735e+00   -3.054149e+01
     456    1.048815e+03    6.719468e+00   -2.215021e+01
     460    1.204575e+03    6.477631e+00   -3.018349e+01
     464    1.247356e+03    5.813183e+00   -3.071546e+01
     468    1.171179e+03    5.714880e+00   -3.228378e+01
     472    1.373139e+03    5.007186e+00   -2.715616e+01
     476    1.273048e+03    4.600926e+00   -2.487974e+01
     480    1.623572e+03    4.105893e+00   -2.475427e+01
     484    1.376307e+03    4.061970e+00   -2.418202e+01
     488    1.607246e+03    3.694188e+00   -1.678593e+01
     492    1.373620e+03    3.787425e+00   -9.229797e+00
     496    1.574293e+03    3.482348e+00   -4.561903e+00
     500    1.416579e+03    3.946053e+00    1.318072e+00
     508    1.331638e+03    4.902593e+00    1.201657e+00
     516    1.429537e+03    5.450907e+00    5.298367e+00
     524    1.677813e+03    5.582045e+00    1.238709e+01
     532    1.688693e+03    6.386283e+00    2.645117e+01
     540    1.437925e+03    8.501243e+00    3.657594e+01
     548    1.371723e+03    1.021887e+01    3.229076e+01
     556    1.666104e+03    1.073077e+01    3.082362e+01
     564    1.486997e+03    1.221565e+01    4.210683e+01
     572    1.322283e+03    1.414956e+01    2.247113e+01
     580    1.501002e+03    1.367430e+01    1.875846e+01
     588    1.389826e+03    1.408327e+01    2.977862e+01
     596    1.433949e+03    1.451593e+01    2.467355e+01
     604    1.700818e+03    1.470900e+01    4.140192e+01
     612    1.361468e+03    1.836213e+01    5.555342e+01
     620    1.566305e+03    2.152627e+01    4.483842e+01
     628    1.114387e+03    2.564107e+01    4.462014e+01
     636    1.278286e+03    2.549488e+01   -7.619751e-01
     644    1.209307e+03    2.298867e+01   -3.599794e+00
     652    1.353037e+03    1.904593e+01   -1.432512e+01
     660    1.283822e+03    1.932439e+01    1.367592e+01
     668    1.210206e+03    2.237670e+01   -3.935539e+00
     676    1.024881e+03    2.504579e+01   -1.340362e+01
     684    1.466048e+03    2.105288e+01   -5.397747e+01
     692    1.197459e+03    1.743859e+01   -3.011334e+01
     700    1.373129e+03    1.543047e+01   -1.081360e+01
     708    1.051397e+03    1.893955e+01   -4.134150e+01
     716    1.376453e+03    1.757596e+01   -4.995968e+01
     724    1.506488e+03    1.233453e+01   -5.197153e+01
     732    1.067651e+03    1.289306e+01   -2.412469e+01
     740    1.447087e+03    1.212822e+01   -3.838941e+01
     748    1.758423e+03    1.002039e+01   -6.688753e+01
     756    1.575950e+03    9.461827e+00   -1.305996e+01
     764    1.434150e+03    9.286474e+00   -9.225665e+00
     772    1.655868e+03    8.014666e+00   -4.247430e+01
     780    1.882599e+03    8.456912e+00   -7.018769e+00
     788    1.620514e+03    8.031491e+00    1.591586e+01
     796    1.918076e+03    6.241233e+00   -1.165133e+01
     804    2.026624e+03    9.185026e+00    2.168349e+01
     812    1.465669e+03    1.133674e+01    3.525844e+01
     820    1.896430e+03    7.556251e+00    2.502037e+01
     828    2.185947e+03    1.005641e+01    7.251140e+01
     836    1.394287e+03    1.340268e+01    3.862614e+01
     844    1.760658e+03    1.139059e+01    4.259014e+01
     852    2.072698e+03    1.684950e+01    1.246269e+02
     860    1.441087e+03    1.540961e+01    6.170085e+01
     868    2.016736e+03    1.321787e+01    7.026242e+01
     876    1.580504e+03    2.096065e+01    1.117646e+02
     884    1.226516e+03    1.793346e+01    4.698923e+01
     892    1.856957e+03    2.288795e+01    1.270267e+02
     900    1.223979e+03    2.432203e+01    9.319326e+01
     908    1.502122e+03    1.867265e+01    7.744506e+01
     916    1.359921e+03    2.567685e+01    1.195329e+02
     924    1.057394e+03    1.842644e+01    3.542484e+01
     932    1.421843e+03    2.472586e+01    9.091117e+01
     940    8.336090e+02    2.454513e+01    4.147676e+01
     948    1.170148e+03    2.228832e+01    5.803160e+01
     956    8.043574e+02    2.892399e+01    6.316391e+01
     964    1.007337e+03    1.986014e+01    3.501054e+01
     972    8.345451e+02    2.842897e+01    6.822242e+01
     980    8.262492e+02    1.887313e+01    2.049436e+01
     988    7.099837e+02    2.466902e+01    5.017442e+01
     996    7.863760e+02    1.753963e+01    4.166203e+00
    1004    6.440372e+02    1.880538e+01    2.672481e+01
    1012    8.062192e+02    1.488765e+01    2.747300e+00
    1020    6.949341e+02    1.438931e+01    1.560035e+01
    1028    7.380593e+02    1.489715e+01    6.504215e-01
    1036    7.353292e+02    1.287642e+01   -2.526460e+00
    1044    8.352047e+02    1.324594e+01   -1.596440e+01
    1052    8.443566e+02    9.136499e+00   -3.275633e+00
    1060    7.563284e+02    1.097910e+01   -1.099048e+01
    1068    8.953341e+02    9.639808e+00    4.328599e+00
    1076    8.542593e+02    9.965461e+00   -2.944715e+01
    1084    8.770121e+02    8.940473e+00    1.212595e+01
    1092    9.079654e+02    7.552447e+00   -6.778425e+00
    1100    7.549611e+02    1.019492e+01    6.355453e+00
    1108    1.026444e+03    9.149151e+00   -3.717429e-01
    1116    7.655135e+02    8.054888e+00    9.748090e+00
    1124    8.343506e+02    1.024355e+01    5.897818e+00
    1132    8.337694e+02    1.070291e+01    1.692760e+01
    1140    9.667931e+02    6.680810e+00    3.817059e+00
    1148    6.858795e+02    1.244915e+01    1.330619e+01
    1156    1.124451e+03    9.191563e+00    2.663649e+01
    1164    7.891377e+02    8.467681e+00    1.423508e+01
    1172    1.044040e+03    1.331672e+01    4.155041e+01
    1180    8.529359e+02    1.300845e+01    3.703903e+01
    1188    1.040587e+03    1.316560e+01    6.489896e+01
    1196    8.178472e+02    1.499632e+01    1.896629e+01
    1204    8.535374e+02    2.002542e+01    5.386421e+01
