# ell  D_l[muK^2]  (with (2/3)^2)
     2  1.869236e+02
     3  2.313074e+02
     4  2.813307e+02
     5  3.023941e+02
     6  2.955137e+02
     7  2.928097e+02
     8  2.920610e+02
     9  2.693207e+02
    10  2.940993e+02
    11  2.913825e+02
    12  3.066244e+02
    13  3.003091e+02
    14  2.983568e+02
    15  3.270619e+02
    16  3.103117e+02
    17  3.315136e+02
    18  3.056155e+02
    19  3.705703e+02
    20  3.702382e+02
    21  3.741932e+02
    22  4.024723e+02
    23  3.640557e+02
    24  4.864786e+02
    25  3.702751e+02
    26  4.712222e+02
    27  4.294926e+02
    28  4.674990e+02
    29  5.591739e+02
    30  4.743063e+02
    32  5.521514e+02
    34  5.888320e+02
    36  5.475646e+02
    38  6.766378e+02
    40  8.478509e+02
    42  8.007531e+02
    44  7.192448e+02
    46  8.941887e+02
    48  8.907923e+02
    50  9.352154e+02
    52  1.166880e+03
    54  9.194770e+02
    56  1.061161e+03
    58  1.296224e+03
    60  1.258718e+03
    62  1.450400e+03
    64  1.028482e+03
    66  1.443220e+03
    68  1.538424e+03
    70  1.687935e+03
    72  1.471350e+03
    74  1.715472e+03
    76  1.796131e+03
    78  1.667119e+03
    80  1.781982e+03
    82  2.175518e+03
    84  1.883025e+03
    86  1.958623e+03
    88  2.205220e+03
    90  2.556588e+03
    92  1.802782e+03
    94  2.779590e+03
    96  2.173931e+03
    98  2.650076e+03
   100  2.755324e+03
   104  2.938931e+03
   108  2.940808e+03
   112  3.129840e+03
   116  3.058384e+03
   120  3.785100e+03
   124  3.910050e+03
   128  3.049820e+03
   132  3.352228e+03
   136  4.301382e+03
   140  4.073950e+03
   144  4.380481e+03
   148  5.565277e+03
   152  4.341689e+03
   156  5.862237e+03
   160  5.737134e+03
   164  4.878030e+03
   168  6.463917e+03
   172  4.689313e+03
   176  6.892734e+03
   180  4.277767e+03
   184  6.282342e+03
   188  3.738737e+03
   192  6.769838e+03
   196  4.840494e+03
   200  8.244875e+03
   204  5.550361e+03
   208  7.880919e+03
   212  4.304735e+03
   216  6.793388e+03
   220  5.960101e+03
   224  6.807612e+03
   228  6.956156e+03
   232  3.841506e+03
   236  7.610847e+03
   240  5.237986e+03
   244  6.551438e+03
   248  5.665281e+03
   252  4.702648e+03
   256  8.080581e+03
   260  4.004130e+03
   264  5.246104e+03
   268  7.497634e+03
   272  3.446149e+03
   276  5.567437e+03
   280  6.335371e+03
   284  2.651825e+03
   288  5.585201e+03
   292  5.465230e+03
   296  2.427492e+03
   300  5.546315e+03
   304  4.679054e+03
   308  2.231283e+03
   312  4.541524e+03
   316  4.145781e+03
   320  2.655777e+03
   324  3.042007e+03
   328  4.105741e+03
   332  2.413455e+03
   336  1.896617e+03
   340  3.715274e+03
   344  2.328310e+03
   348  1.832809e+03
   352  2.191973e+03
   356  2.961372e+03
   360  1.517934e+03
   364  1.355271e+03
   368  2.003620e+03
   372  2.289768e+03
   376  1.247874e+03
   380  1.430168e+03
   384  1.791377e+03
   388  1.549253e+03
   392  8.156765e+02
   396  1.052351e+03
   400  1.288149e+03
   404  1.482871e+03
   408  1.383163e+03
   412  1.201980e+03
   416  1.167568e+03
   420  1.244542e+03
   424  1.207968e+03
   428  1.476442e+03
   432  1.350401e+03
   436  8.816200e+02
   440  1.000713e+03
   444  1.086147e+03
   448  1.063010e+03
   452  1.181423e+03
   456  7.945347e+02
   460  1.264791e+03
   464  1.532970e+03
   468  1.317309e+03
   472  1.536560e+03
   476  1.028116e+03
   480  1.460968e+03
   484  1.285605e+03
   488  1.232239e+03
   492  1.779863e+03
   496  1.268638e+03
   500  1.573822e+03
   508  1.965713e+03
   516  1.457661e+03
   524  2.371872e+03
   532  2.028325e+03
   540  1.097355e+03
   548  2.217167e+03
   556  1.705453e+03
   564  1.259847e+03
   572  2.065249e+03
   580  2.054214e+03
   588  1.216228e+03
   596  1.952581e+03
   604  1.516834e+03
   612  1.326375e+03
   620  1.806233e+03
   628  1.476886e+03
   636  1.051942e+03
   644  1.277827e+03
   652  1.145637e+03
   660  9.519872e+02
   668  1.366738e+03
   676  1.745304e+03
   684  1.719721e+03
   692  1.412424e+03
   700  1.471218e+03
   708  1.122045e+03
   716  1.270086e+03
   724  1.567244e+03
   732  1.714225e+03
   740  6.968309e+02
   748  1.571439e+03
   756  1.936742e+03
   764  1.591701e+03
   772  1.256070e+03
   780  1.806630e+03
   788  2.093561e+03
   796  1.818033e+03
   804  1.155226e+03
   812  2.822338e+03
   820  3.122124e+03
   828  1.622384e+03
   836  1.478647e+03
   844  2.823012e+03
   852  2.690236e+03
   860  1.121663e+03
   868  1.901841e+03
   876  1.080386e+03
   884  2.569883e+03
   892  2.099851e+03
   900  1.771252e+03
   908  1.049810e+03
   916  1.902703e+03
   924  1.776139e+03
   932  9.833555e+02
   940  1.278308e+03
   948  7.611171e+02
   956  1.544443e+03
   964  1.531066e+03
   972  7.707482e+02
   980  9.182821e+02
   988  7.353819e+02
   996  8.594362e+02
  1004  7.821551e+02
  1012  9.664195e+02
  1020  8.401411e+02
  1028  6.476637e+02
  1036  9.060216e+02
  1044  1.109685e+03
  1052  9.868075e+02
  1060  8.393777e+02
  1068  6.550378e+02
  1076  1.023083e+03
  1084  8.360054e+02
  1092  5.638658e+02
  1100  9.369028e+02
  1108  4.570876e+02
  1116  9.745126e+02
  1124  1.500582e+03
  1132  1.180641e+03
  1140  7.526786e+02
  1148  9.574542e+02
  1156  5.606111e+02
  1164  1.126026e+03
  1172  1.424900e+03
  1180  6.900673e+02
  1188  6.103801e+02
  1196  1.072040e+03
  1204  5.350441e+02
  1212  1.114210e+03
  1220  1.284478e+03
  1228  8.638868e+02
  1236  6.836311e+02
  1244  9.514377e+02
  1252  6.083794e+02
  1260  6.954752e+02
  1268  6.366488e+02
  1276  6.879481e+02
  1284  7.010842e+02
  1292  3.614230e+02
  1300  6.626157e+02
  1308  6.033205e+02
  1316  4.958939e+02
  1324  4.734065e+02
  1332  4.172205e+02
  1340  6.343850e+02
  1348  4.847075e+02
  1356  7.149892e+02
  1364  8.858699e+02
  1372  6.405847e+02
  1380  3.944678e+02
  1388  5.542252e+02
  1396  6.116985e+02
  1404  7.899212e+02
  1412  9.034283e+02
  1420  1.304488e+03
  1428  8.701906e+02
  1436  7.247095e+02
  1444  8.497888e+02
  1452  5.058057e+02
  1460  1.063052e+03
  1468  3.903119e+02
  1476  1.272034e+03
  1484  1.346067e+03
  1492  8.227335e+02
  1500  3.838268e+02
  1512  4.529197e+02
  1524  6.425925e+02
  1536  9.959518e+02
  1548  7.121362e+02
  1560  2.182837e+02
  1572  4.492369e+02
  1584  4.313095e+02
  1596  2.422699e+02
  1608  5.746874e+02
  1620  2.626533e+02
  1632  4.093644e+02
  1644  3.684031e+02
  1656  2.916964e+02
  1668  3.483281e+02
  1680  2.750771e+02
  1692  3.672389e+02
  1704  4.141099e+02
  1716  3.581764e+02
  1728  4.698857e+02
  1740  5.140359e+02
  1752  4.610076e+02
  1764  2.745033e+02
