circuit,depth,F_actual,F_naive_pred,F_bayes_pred,err_naive,err_bayes,bayes_closer
H-Rz-X-H,4,0.9444890935229403,0.8120675197588182,0.8114910370028678,0.1324215737641221,0.13299805652007246,False
5-gate,5,0.9328650282769226,0.7705956643372325,0.7810560135377326,0.16226936393969016,0.15180901473919006,True
10-gate,10,0.5201703287149291,0.5943876722420849,0.6758553317834352,0.07421734352715581,0.15568500306850608,False
20-gate,20,0.8369842325753751,0.3526194345810145,0.5672356778803823,0.4843647979943606,0.2697485546949928,True
