depth,tau_naive,tau_bayesian,improvement_pct
2,0.09487214517314957,0.09131982223347368,3.7443265704518502
4,0.1789950777226783,0.19422420105082772,-8.508124090286028
6,0.250925805902814,0.24503726799198877,2.3467247179454698
8,0.3228879306207383,0.2899610717883242,10.197612146453917
10,0.3778293503948601,0.3226864843655778,14.594648608334392
15,0.5092455123477756,0.40053532596477326,21.34730375567092
20,0.6129036827699182,0.4363175412516974,28.811401608841468
30,0.7591600328492026,0.47745074003559196,37.10802474101907
