circuit,depth,tau_naive,tau_bayesian,improvement_pct,composition_holds,composition_slack
H-Rz-X-H,4,0.1879324802411818,0.18850896299713216,-0.3067499323217149,True,0.46565491737334397
5-gate,5,0.22940433566276752,0.21894398646226743,4.559787054712505,True,0.6579021446697737
8-gate,8,0.34361968496247264,0.2946973442556121,14.237351015615829,True,0.3019499171645287
10-gate,10,0.4056123277579151,0.32414466821656485,20.085104412796174,True,0.36288516192065545
15-gate,15,0.5424066720070473,0.39030702663821115,28.04162507920993,True,0.4930335099004548
20-gate,20,0.6473805654189855,0.4327643221196177,33.151480715283434,True,0.5918216296478654
