stage,sigma,tau
N3,0.024475,0.135850
N3,0.017564,0.116240
N3,0.014078,0.086354
N3,0.012944,0.101864
N3,0.028456,0.130365
N3,0.028958,0.068563
N3,0.007618,0.115381
N3,0.024355,0.129435
N3,0.011597,0.077057
N3,0.022926,0.117843
N3,0.013037,0.087583
N3,0.002831,0.077921
N3,0.038882,0.053752
N3,0.020534,0.117975
N3,0.005075,0.078562
N3,0.010681,0.085404
N3,0.016382,0.060124
N3,0.038962,0.105899
N3,0.003838,0.060470
N3,0.012365,0.113798
N3,0.054776,0.134831
N3,0.002473,0.075579
N3,0.003573,0.077066
N3,0.007062,0.074438
N3,0.007385,0.094686
N3,0.012791,0.103658
N3,0.000620,0.077966
N3,0.028714,0.095755
N3,0.015569,0.125426
N3,0.033852,0.084181
N3,0.020776,0.133214
N3,0.018121,0.110819
N3,0.028124,0.072412
N3,0.011115,0.116181
N3,0.003515,0.102235
N3,0.004654,0.093644
N3,0.003891,0.091489
N3,0.052469,0.113565
N3,0.008590,0.050566
N3,0.029290,0.057726
N3,0.009897,0.093049
N3,0.005220,0.098715
N3,0.004172,0.111156
N3,0.002147,0.103017
N3,0.003116,0.101246
N3,0.019234,0.105338
N3,0.003870,0.066801
N3,0.008325,0.090923
N3,0.016252,0.062846
N3,0.025430,0.098394
N3,0.019202,0.057287
N3,0.011090,0.082243
N3,0.023472,0.086048
N3,0.040409,0.038381
N3,0.036475,0.096225
N3,0.013377,0.050662
N3,0.017147,0.074959
N3,0.009623,0.048423
N3,0.014884,0.057336
N3,0.024187,0.090038
N3,0.003901,0.054025
N3,0.005040,0.064733
N3,0.001644,0.056990
N3,0.004599,0.051912
N3,0.004104,0.060266
N3,0.012911,0.080894
N3,0.015329,0.050457
N3,0.004430,0.074191
N3,0.001183,0.065702
N3,0.001792,0.070924
N3,0.011576,0.084504
N3,0.002361,0.056847
N3,0.000721,0.064373
N3,0.007882,0.067745
N3,0.011146,0.064811
N3,0.005025,0.041135
N3,0.005760,0.054434
N3,0.005365,0.040602
N3,0.027388,0.040396
N3,0.025960,0.090555
N3,0.012231,0.045497
N3,0.002411,0.072127
N3,0.044728,0.048568
N3,0.032037,0.111830
N3,0.002393,0.064603
N3,0.002347,0.067834
N3,0.005399,0.055994
N3,0.003252,0.064885
N3,0.003997,0.061344
N3,0.007192,0.076810
N3,0.003952,0.063775
N3,0.009803,0.073258
N3,0.002330,0.051366
N3,0.003026,0.053342
N3,0.001191,0.060654
N3,0.003742,0.066071
N3,0.003405,0.060117
N3,0.001667,0.046162
N3,0.010679,0.057506
N3,0.029435,0.033937
N3,0.001826,0.069184
N3,0.004561,0.070623
N3,0.003785,0.059523
N3,0.015455,0.075886
N3,0.012838,0.040925
N3,0.001707,0.065668
N3,0.001698,0.063109
N3,0.061937,0.056726
N3,0.020598,0.087298
N3,0.022402,0.100944
N3,0.011487,0.089158
N3,0.002345,0.115253
N3,0.011996,0.118541
N3,0.011477,0.095021
N3,0.111988,0.068545
N3,0.032383,0.152679
N3,0.010487,0.114401
N3,0.006537,0.092790
N3,0.004725,0.095367
N3,0.039439,0.117475
N3,0.025810,0.059393
N3,0.012528,0.099523
N3,0.177291,0.097063
N3,0.015682,0.117271
N3,0.005546,0.089530
N3,0.017652,0.113796
N3,0.021561,0.091897
N3,0.033156,0.047376
N3,0.004060,0.091264
N3,0.002753,0.081025
N3,0.004522,0.085097
N3,0.003611,0.087940
N3,0.003071,0.084755
N3,0.028312,0.103932
N3,0.000508,0.061326
N3,0.001707,0.062788
N3,0.008815,0.069136
N3,0.018118,0.079489
N3,0.006086,0.069313
N3,0.005224,0.052871
N3,0.016147,0.058951
N3,0.017077,0.078252
N3,0.010908,0.107594
N3,0.006541,0.090638
N3,0.003574,0.071746
N3,0.024351,0.085235
N3,0.008884,0.053115
N3,0.037560,0.044215
N3,0.001641,0.090739
N3,0.024494,0.098971
N3,0.008907,0.058328
N3,0.018785,0.076502
N3,0.003849,0.046971
N3,0.092683,0.043206
N3,0.001813,0.092398
N3,0.049261,0.079292
N3,0.011642,0.143543
N3,0.009319,0.123049
N3,0.003356,0.111442
N3,0.037356,0.119524
N3,0.028234,0.060218
N3,0.008588,0.108825
N3,0.062880,0.097458
N3,0.004979,0.071707
N3,0.001830,0.081150
N3,0.029911,0.073815
N3,0.048609,0.088497
N3,0.091521,0.178703
N3,0.012605,0.073916
N3,0.026080,0.114691
N3,0.001233,0.071278
N3,0.002346,0.071538
N3,0.003446,0.078044
N3,0.013014,0.100155
N3,0.009702,0.071899
N3,0.015656,0.055961
N3,0.213923,0.084414
N3,0.189886,0.151042
N3,0.037992,0.118961
N3,0.005171,0.099229
N3,0.017795,0.085491
N3,0.003583,0.097193
N3,0.107444,0.120523
N3,0.009457,0.076008
N3,0.002946,0.118280
N3,0.002136,0.112437
N3,0.002998,0.111565
N3,0.006532,0.123271
N3,0.026530,0.088517
N3,0.024303,0.112027
N3,0.026077,0.162094
N3,0.010451,0.112190
N3,0.008396,0.107406
N3,0.007286,0.089561
N3,0.015458,0.098186
N3,0.028904,0.109414
N3,0.002979,0.086986
N3,0.009300,0.091951
N3,0.011504,0.111717
N3,0.000899,0.085798
N3,0.004474,0.080975
N3,0.009917,0.100764
N3,0.056463,0.060402
N3,0.066705,0.146178
N3,0.006431,0.066007
N3,0.011633,0.074740
N3,0.081983,0.133748
N3,0.044803,0.043711
N3,0.016603,0.073604
N3,0.006404,0.103177
N3,0.015360,0.104542
N3,0.019892,0.064177
N3,0.052762,0.122761
N3,0.006032,0.062192
N3,0.003942,0.079246
N3,0.001021,0.069940
N3,0.061431,0.050115
N3,0.045961,0.134247
N3,0.007845,0.076842
N3,0.006793,0.070763
N3,0.002696,0.081647
N3,0.008209,0.078330
N3,0.007470,0.070105
N3,0.004215,0.085790
N3,0.009177,0.092236
N3,0.002819,0.072194
N3,0.033373,0.055407
N3,0.056087,0.123293
N3,0.006953,0.054164
N3,0.007202,0.066199
N3,0.034379,0.102292
N3,0.018531,0.050682
N3,0.006139,0.072648
N3,0.021050,0.076589
N3,0.006004,0.113161
N3,0.024680,0.121593
N3,0.021600,0.130172
N3,0.005132,0.094229
N3,0.019186,0.121155
N3,0.006851,0.090828
N3,0.014740,0.095446
N3,0.004734,0.061058
N3,0.010472,0.082221
N3,0.012754,0.072520
N3,0.026811,0.048210
N3,0.015133,0.098972
N3,0.001558,0.068225
N3,0.002401,0.068725
N3,0.014206,0.051718
N3,0.007076,0.074952
N3,0.019508,0.099561
N3,0.005631,0.060486
N3,0.007045,0.068012
N3,0.002600,0.088880
N3,0.010531,0.088682
N3,0.006978,0.094817
N3,0.009653,0.086044
N3,0.004901,0.070996
N3,0.004069,0.057769
N3,0.009329,0.062885
N3,0.012396,0.091864
N3,0.009617,0.061606
N3,0.003486,0.077295
N3,0.013132,0.101181
N3,0.003599,0.071697
N3,0.005435,0.076841
N3,0.004823,0.060838
N3,0.336270,0.065915
N3,0.215866,0.171816
N3,0.343567,0.082585
N3,0.062277,0.078585
N3,0.023405,0.141314
N3,0.009397,0.126764
N3,0.005833,0.131839
N3,0.038944,0.092719
N3,0.067104,0.181191
N3,0.013817,0.087250
N3,0.015894,0.125805
N3,0.037352,0.076127
N3,0.014504,0.120309
N3,0.023011,0.124843
N3,0.018323,0.130415
N3,0.008826,0.088760
N3,0.011763,0.110239
N3,0.006012,0.088058
N3,0.008687,0.063783
N3,0.002136,0.089321
N3,0.000721,0.083646
N3,0.012698,0.091376
N3,0.001281,0.069629
N3,0.035885,0.051192
N3,0.041857,0.118522
N3,0.026252,0.051310
N3,0.007760,0.083149
N3,0.018150,0.109614
N3,0.015486,0.073138
N3,0.005120,0.092673
N3,0.029628,0.101710
N3,0.002786,0.059720
N3,0.008914,0.055104
N3,0.027629,0.085378
N3,0.002632,0.048816
N3,0.007626,0.054016
N3,0.003857,0.073767
N3,0.003192,0.061368
N3,0.002844,0.060231
N3,0.007491,0.050822
N3,0.002185,0.069866
N3,0.010575,0.071066
N3,0.001353,0.046370
N3,0.423394,0.038595
N3,0.285812,0.201391
N3,0.053831,0.063435
N3,0.032563,0.101282
N3,0.007252,0.139874
N3,0.028610,0.162447
N3,0.030296,0.099786
N3,0.025412,0.168813
N3,0.006524,0.125403
N3,0.012823,0.125673
N3,0.043244,0.158995
N3,0.055685,0.074117
N3,0.013685,0.144732
N3,0.004818,0.133289
N3,0.065525,0.150260
N3,0.014846,0.071720
N3,0.045046,0.063660
N3,0.004122,0.113036
N3,0.016397,0.112143
N3,0.035827,0.171392
N3,0.007129,0.112790
N3,0.016502,0.092454
N3,0.028916,0.092161
N3,0.044295,0.163843
N3,0.017913,0.100708
N3,0.010642,0.119920
N3,0.051976,0.118759
N3,0.049495,0.045123
N3,0.011089,0.097196
N3,0.016154,0.098172
N3,0.022650,0.071329
N3,0.183767,0.106259
N3,0.018421,0.145824
REM,0.052837,0.078974
REM,0.055458,0.170246
REM,0.045761,0.076754
REM,0.055233,0.180690
REM,0.108070,0.083558
REM,0.402965,0.205326
REM,0.273492,0.140199
REM,0.057030,0.113374
REM,0.028102,0.142910
REM,0.066892,0.177668
REM,0.038905,0.116513
REM,0.018290,0.100481
REM,0.007729,0.130679
REM,0.010653,0.121807
REM,0.075336,0.137989
REM,0.059241,0.101132
REM,0.070670,0.135611
REM,0.070592,0.208678
REM,0.140276,0.223973
REM,0.106355,0.074291
REM,0.177008,0.206130
REM,0.040318,0.108044
REM,0.035637,0.102344
REM,0.035382,0.119429
REM,0.070045,0.180357
REM,0.076661,0.133248
REM,0.063247,0.176598
REM,0.095149,0.071119
REM,0.046898,0.117457
REM,0.074823,0.085262
REM,0.040638,0.175427
REM,0.028375,0.118344
REM,0.046248,0.113038
REM,0.034180,0.126873
REM,0.076952,0.132536
REM,0.100145,0.088083
REM,0.273749,0.268542
REM,0.101862,0.056831
REM,0.073221,0.189209
REM,0.005420,0.112294
REM,0.166596,0.058561
REM,0.047636,0.181369
REM,0.093441,0.130562
REM,0.263833,0.257933
REM,0.052420,0.086874
REM,0.054148,0.096975
REM,0.010814,0.146018
REM,0.094218,0.222632
REM,0.081288,0.081621
REM,0.164160,0.227999
REM,0.077731,0.087286
REM,0.022680,0.158980
REM,0.014045,0.153807
REM,0.011662,0.136164
REM,0.133026,0.080777
REM,0.162693,0.255204
REM,0.038830,0.134180
REM,0.020415,0.127940
REM,0.048043,0.153883
REM,0.099954,0.202038
REM,0.071316,0.087398
REM,0.057889,0.135031
REM,0.320233,0.225065
REM,0.054368,0.149210
REM,0.023393,0.128640
REM,0.099590,0.213245
REM,0.015865,0.117047
REM,0.048691,0.151928
REM,0.068193,0.095134
REM,0.026546,0.163644
REM,0.036126,0.140803
REM,0.014961,0.171976
REM,0.031532,0.145605
REM,0.110093,0.215445
REM,0.066968,0.118284
REM,0.014563,0.152912
REM,0.147189,0.219946
REM,0.026917,0.087006
REM,0.012985,0.117264
REM,0.005926,0.153042
REM,0.008587,0.136348
REM,0.014151,0.142511
REM,0.031594,0.179039
REM,0.033075,0.116858
REM,0.028311,0.149334
REM,0.016688,0.154862
REM,0.044901,0.182293
REM,0.013593,0.139457
REM,0.012642,0.115347
REM,0.092979,0.093116
REM,0.020459,0.161538
REM,0.028003,0.223726
REM,0.092226,0.221910
REM,0.021482,0.103107
REM,0.021252,0.132137
REM,0.125409,0.113353
REM,0.201030,0.293917
REM,0.175006,0.178774
REM,0.136463,0.197152
REM,0.010303,0.194673
REM,0.038657,0.206463
REM,0.097118,0.110705
REM,0.061040,0.226458
REM,0.101036,0.120713
REM,0.100812,0.239889
REM,0.250749,0.258173
REM,0.230265,0.042647
REM,0.012095,0.157930
REM,0.028865,0.176949
REM,0.071637,0.212973
REM,0.133490,0.152205
REM,0.266252,0.245481
REM,0.241460,0.050042
REM,0.041867,0.200066
REM,0.031182,0.155438
REM,0.043933,0.105739
REM,0.086430,0.150374
REM,0.219076,0.131278
REM,1.032258,0.414464
REM,0.182591,0.183182
REM,0.118331,0.081191
REM,0.293050,0.096604
REM,0.040927,0.187333
REM,0.114053,0.199303
REM,0.248692,0.053314
REM,0.220414,0.230060
REM,0.043004,0.130565
REM,0.159853,0.080462
REM,0.185567,0.270605
REM,0.120830,0.074192
REM,0.069717,0.175114
REM,0.036580,0.165423
REM,0.059869,0.165563
REM,0.573338,0.065841
REM,0.490223,0.310732
REM,0.154698,0.151524
REM,0.369216,0.283361
REM,0.211954,0.041619
REM,0.055063,0.100085
REM,0.020636,0.156444
REM,0.015679,0.139946
REM,0.150178,0.087646
REM,0.084400,0.161869
REM,0.174107,0.266182
REM,0.118091,0.140732
REM,0.265909,0.190675
REM,0.012491,0.152431
REM,0.102355,0.117288
REM,0.099822,0.144269
REM,0.038264,0.160479
REM,0.020282,0.149993
REM,0.070597,0.177465
REM,0.056162,0.138204
REM,0.079392,0.098150
REM,0.209213,0.269179
REM,0.093112,0.076360
REM,0.154089,0.208326
REM,0.067911,0.110734
